geoid,borough,year,median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units
014607,Staten Island,2013,1382.0,87992.0,4698,4160,1710,8
014608,Staten Island,2013,1681.0,90714.0,3626,2970,1253,29
014700,Brooklyn,2013,1563.3231928080559,68334.84132621862,2343,1057,952,101
014700,Manhattan,2013,2001.0,108036.0,2586,1498,1743,380
014700,Queens,2013,1384.0,47378.0,2878,2145,1494,149
014700,Staten Island,2013,1186.0,93519.0,3384,2913,1522,163
014701,Bronx,2013,438.0,21106.0,6818,37,2032,0
014702,Bronx,2013,440.0,17940.0,5073,17,1625,41
014800,Brooklyn,2013,1641.0,75455.0,1238,1193,531,39
014800,Queens,2013,1396.0,60000.0,2225,93,592,71
014801,Manhattan,2013,2001.0,145083.0,2697,2255,1708,363
014802,Manhattan,2013,1944.0,107795.0,7007,5942,3993,598
014900,Bronx,2013,903.0086998934453,23489.67471623185,4150,55,1593,241
014900,Manhattan,2013,2001.0,137794.0,5770,4548,4006,954
014900,Queens,2013,1512.0,68935.0,2109,1074,1079,170
014901,Brooklyn,2013,1927.0,111359.0,1670,1174,701,43
014902,Brooklyn,2013,1927.0,111359.0,3894,2738,1634,101
015000,Brooklyn,2013,1315.0,86250.0,1666,1449,672,55
015000,Queens,2013,1375.0,76364.0,2536,207,626,0
015001,Manhattan,2013,2001.0,131484.0,2161,1808,1318,253
015002,Manhattan,2013,2001.0,151684.0,5425,4786,2901,521
015100,Bronx,2013,1025.0,29031.0,5935,82,1972,141
015100,Brooklyn,2013,1898.0,118015.0,3823,2797,1647,91
015100,Queens,2013,1374.0,59167.0,2675,1589,1236,80
015100,Staten Island,2013,1095.1039099429286,88862.4794548694,5341,4309,2145,109
015101,Manhattan,2013,1644.0,63545.0,1390,538,833,134
015102,Manhattan,2013,1644.0,63545.0,6711,2598,4021,647
015200,Bronx,2013,1289.9404470658471,58123.24147715128,2738,817,961,106
015200,Brooklyn,2013,1430.5930631640886,65953.43383085585,2534,1606,962,42
015200,Manhattan,2013,1169.226521948395,70052.72203943718,7259,3740,4034,373
015200,Queens,2013,1395.0,61389.0,2907,65,794,35
015300,Bronx,2013,1072.8377984723302,21546.377780683364,4043,27,1474,50
015300,Brooklyn,2013,1874.0,124821.0,2949,2146,1296,145
015300,Queens,2013,1476.9963427465996,54637.81745408382,2006,944,981,91
015301,Manhattan,2013,2001.0,120037.0,4465,3525,3108,672
015302,Manhattan,2013,2001.0,120037.0,4492,3546,3126,676
015400,Brooklyn,2013,2001.0,55192.0,4,2,1,0
015400,Queens,2013,1173.5534818350059,49208.404435437966,2217,102,612,66
015401,Manhattan,2013,1739.0,81963.0,5543,3954,3322,273
015402,Manhattan,2013,1739.0,81963.0,4274,3048,2561,211
015403,Manhattan,2013,1739.0,81963.0,4040,2882,2421,199
015500,Bronx,2013,899.0,26698.0,3223,9,1032,25
015500,Brooklyn,2013,1963.0,105870.0,3560,2835,1641,209
015500,Queens,2013,1474.0,65139.0,2223,1328,1031,113
015501,Manhattan,2013,2001.0,111431.0,2037,1593,1360,246
015502,Manhattan,2013,2001.0,111431.0,7704,6024,5141,931
015600,Queens,2013,1385.0,50509.0,3445,97,905,44
015601,Manhattan,2013,2001.0,89375.0,5555,3759,3142,288
015601,Staten Island,2013,1279.0,85443.0,6058,5218,2489,136
015602,Manhattan,2013,961.0,44643.0,2274,422,1116,118
015602,Staten Island,2013,1713.0,76755.0,3289,3020,1178,35
015603,Staten Island,2013,1875.0,102399.0,4961,4332,1830,125
015700,Bronx,2013,991.0,26250.0,3296,59,1264,163
015700,Brooklyn,2013,2001.0,116612.0,4264,3704,2034,49
015700,Manhattan,2013,1734.0,109953.0,10423,9179,7047,1296
015700,Queens,2013,1306.0,46000.0,1561,505,720,0
015800,Bronx,2013,1203.0,55556.0,1256,570,506,63
015801,Manhattan,2013,2001.0,117457.0,5443,4518,2983,530
015801,Queens,2013,1374.719698242736,49486.37003802249,3635,32,1040,78
015802,Manhattan,2013,2001.0,96250.0,4154,2250,2058,211
015802,Queens,2013,1315.1580970065786,62554.10799064812,4618,117,1358,44
015900,Bronx,2013,640.021818586579,17288.83287258184,2198,4,715,41
015900,Brooklyn,2013,1964.4866942270428,127694.42848348475,5468,4142,2922,343
015900,Manhattan,2013,1941.0,108539.0,8455,6817,6330,1218
015900,Queens,2013,1348.0,49097.0,4278,2535,2037,102
016000,Bronx,2013,1772.0,85104.0,4385,3404,1608,113
016000,Brooklyn,2013,1274.0,58809.0,4506,2391,1967,107
016001,Manhattan,2013,2001.0,171681.0,3656,2982,1925,308
016002,Manhattan,2013,1518.0,91048.0,3228,2129,1373,253
016100,Bronx,2013,558.0,16889.0,4334,78,1794,66
016100,Brooklyn,2013,1922.0,104167.0,3252,1947,1538,106
016100,Manhattan,2013,1876.0,118250.0,6467,5269,4262,557
016100,Queens,2013,1510.0,52238.0,2389,730,873,104
016200,Bronx,2013,1007.0,67778.0,1791,967,636,92
016200,Brooklyn,2013,1416.2861792397343,70305.60287814696,2629,1508,1149,36
016200,Manhattan,2013,752.5840801023716,26664.697301857057,9185,720,4234,328
016300,Bronx,2013,899.0,26698.0,106,0,34,1
016300,Brooklyn,2013,1625.0,82009.0,3247,1821,1473,106
016300,Manhattan,2013,1867.2318965907816,103266.57433876545,7411,5904,4408,374
016300,Queens,2013,613.1454798030298,28927.06860797483,4138,638,1740,51
016400,Bronx,2013,1400.0,77344.0,1007,604,459,56
016400,Brooklyn,2013,1972.475059441064,55576.80747740795,818,415,251,41
016400,Manhattan,2013,818.0,34267.0,6580,848,2538,152
016400,Queens,2013,1347.0,63269.0,3622,59,939,46
016500,Bronx,2013,1014.0,25164.0,1119,4,402,41
016500,Brooklyn,2013,1988.965674386533,105725.54094807447,5298,4007,2620,18
016500,Manhattan,2013,1944.0,123834.0,7062,5687,4038,575
016600,Bronx,2013,1184.0,70081.0,2249,1018,878,112
016600,Brooklyn,2013,1188.0,66806.0,2072,1825,776,52
016600,Manhattan,2013,1034.0,35706.0,7720,1734,3084,293
016600,Queens,2013,1245.1444427633828,51290.206068019266,3643,122,1048,54
016700,Bronx,2013,985.0,32386.0,2141,31,783,97
016700,Brooklyn,2013,1783.0,100928.0,4910,3650,2207,90
016700,Manhattan,2013,2001.0,116111.0,6705,5611,3737,471
016800,Brooklyn,2013,1183.0,75125.0,1570,1180,726,89
016800,Manhattan,2013,618.0,26600.0,4964,893,1757,199
016800,Queens,2013,1295.818283744039,65410.44951093547,3246,45,937,47
016900,Bronx,2013,911.0,33899.0,1648,19,497,38
016900,Brooklyn,2013,1473.0,63788.0,4771,2588,2279,111
016900,Manhattan,2013,1995.0,96528.0,7577,6243,4942,915
016900,Queens,2013,1273.0656780255642,59594.55518455985,5610,2444,2541,271
016901,Staten Island,2013,1405.0817032222913,66106.7192046586,3387,2164,1225,43
017000,Brooklyn,2013,1284.0,58375.0,3698,1883,1260,92
017000,Manhattan,2013,987.0,34528.0,7945,1008,3333,172
017000,Queens,2013,1205.0,47643.0,2353,29,713,21
017005,Staten Island,2013,1135.0,82950.0,4146,3761,1545,87
017007,Staten Island,2013,964.721702078382,82302.07882188013,4976,3171,1797,30
017009,Staten Island,2013,1153.55014314881,78608.33899602098,4427,3969,1768,131
017011,Staten Island,2013,1434.0,73425.0,4996,4255,1806,32
017012,Staten Island,2013,1201.0,67917.0,4044,3390,1608,76
017013,Staten Island,2013,1367.0,95287.0,4289,3638,1538,70
017014,Staten Island,2013,1367.0,95287.0,4266,3618,1529,70
017015,Staten Island,2013,1085.2616824649433,91161.27152412737,3011,2487,1160,33
017016,Staten Island,2013,1086.4080511652971,90931.04089778608,4330,3578,1669,48
017100,Bronx,2013,1043.3691018720067,28102.25392711063,152,5,50,4
017100,Brooklyn,2013,2001.0,101538.0,3862,3235,1688,112
017100,Manhattan,2013,1913.0,117398.0,9524,7223,5097,459
017102,Queens,2013,1433.0,73482.0,4,2,2,0
017200,Brooklyn,2013,1211.0,87669.0,3269,1493,1147,66
017200,Manhattan,2013,976.0,35197.0,5693,770,2369,215
017200,Queens,2013,1253.0,70208.0,2306,50,611,25
017300,Bronx,2013,618.0,22699.0,6356,1,2345,150
017300,Manhattan,2013,1790.0,108173.0,9183,5875,5198,932
017300,Staten Island,2013,610.0,37766.0,2378,859,969,67
017400,Brooklyn,2013,1279.0,72717.0,1981,998,765,27
017400,Queens,2013,1167.0,63523.0,2689,94,730,30
017401,Manhattan,2013,782.0,23916.0,4656,590,2199,278
017402,Manhattan,2013,1288.0,44766.0,2662,409,871,15
017500,Bronx,2013,747.0,17825.0,6322,72,2513,205
017500,Manhattan,2013,2001.0,126901.0,10826,8226,5859,936
017600,Brooklyn,2013,1254.0,47031.0,1989,1081,899,111
017600,Queens,2013,1261.0,51429.0,2316,35,629,5
017600,Staten Island,2013,971.0,99444.0,4669,4317,1678,100
017700,Brooklyn,2013,1311.7279961891882,63626.29316191834,105,44,52,4
017700,Manhattan,2013,942.0,57477.0,8568,4467,4984,407
017701,Bronx,2013,1187.0,26224.0,3942,115,1354,229
017701,Staten Island,2013,1694.6848513515438,100189.88501948025,5992,4444,2074,45
017702,Bronx,2013,1039.0,20554.0,4642,10,1811,206
017702,Staten Island,2013,1695.0,100227.0,1197,888,414,9
017800,Brooklyn,2013,1184.0,52639.0,2578,1155,863,68
017800,Manhattan,2013,1069.0,27079.0,3983,947,1830,205
017800,Queens,2013,1132.0299508333553,44134.76888833832,2218,25,639,18
017900,Brooklyn,2013,1125.0,57019.0,4162,755,1616,109
017900,Manhattan,2013,1600.0,88287.0,9338,7284,5255,429
017901,Bronx,2013,1112.0,20647.0,4836,14,1651,0
017901,Queens,2013,1227.344075430297,41924.13508005176,272,89,125,6
017902,Bronx,2013,1104.0,27088.0,3653,66,1163,24
017902,Queens,2013,1200.0,42895.0,754,248,350,22
018000,Brooklyn,2013,1260.0,38711.0,2907,1537,1044,87
018000,Manhattan,2013,618.0,24577.0,7549,606,2927,245
018000,Queens,2013,1161.0,50682.0,1210,126,347,0
018100,Brooklyn,2013,1567.289915236664,79683.36971050581,3621,1992,2330,286
018100,Manhattan,2013,1130.0,67742.0,8674,5079,4631,378
018100,Staten Island,2013,293.0,99583.0,3092,2490,1036,51
018101,Bronx,2013,1090.0,26694.0,3125,2,1097,120
018101,Queens,2013,1291.0,39664.0,3954,1264,1769,40
018102,Bronx,2013,1032.0,38561.0,5737,157,1687,114
018102,Queens,2013,1429.0,52679.0,3752,1897,2052,155
018200,Brooklyn,2013,1126.0,38984.0,3046,687,1162,155
018200,Manhattan,2013,579.0,23446.0,6031,540,2691,215
018200,Queens,2013,1340.1871726708093,57004.94359904429,2151,4,752,83
018300,Brooklyn,2013,1956.0,105271.0,2757,1284,1450,188
018300,Manhattan,2013,1851.6460907883436,88896.14331500353,9266,6094,5156,761
018300,Queens,2013,1337.1348963114729,60101.6374442465,5570,2077,2806,199
018301,Bronx,2013,1110.0,34500.0,4443,117,2030,104
018302,Bronx,2013,1058.0,47167.0,4176,34,1317,43
018400,Bronx,2013,1265.0,76477.0,3758,2135,1612,177
018400,Brooklyn,2013,1284.0,52550.0,2056,1157,857,96
018400,Manhattan,2013,642.0,25380.0,8059,516,3251,418
018401,Queens,2013,1015.0,59500.0,2455,13,679,81
018402,Queens,2013,1602.0,65000.0,2312,32,680,78
018500,Manhattan,2013,1686.0,94297.0,4955,3046,2932,201
018501,Bronx,2013,906.0,23034.0,3065,42,1208,141
018501,Brooklyn,2013,459.0,21303.0,4148,266,1765,186
018501,Queens,2013,1210.0,54007.0,3510,1619,1641,57
018502,Bronx,2013,906.0,23034.0,3789,51,1494,175
018502,Queens,2013,1453.0,62230.0,3385,1619,1604,138
018600,Brooklyn,2013,1177.0,63125.0,1969,1312,731,32
018600,Manhattan,2013,511.0,20963.0,6856,337,2036,67
018600,Queens,2013,1665.5206961174742,62097.72377770256,1557,32,566,114
018700,Brooklyn,2013,1803.0,106875.0,1616,686,646,59
018700,Manhattan,2013,1863.0,97083.0,8727,5940,4535,511
018700,Queens,2013,1317.919867536997,65611.16710883417,2873,778,1220,166
018701,Staten Island,2013,1308.9159956158333,81358.2055386755,1752,1316,696,66
018703,Staten Island,2013,1071.0,74263.0,3481,1652,1142,83
018704,Staten Island,2013,1071.0,74263.0,3947,1873,1295,94
018800,Brooklyn,2013,1527.0,56354.0,3188,1812,1047,19
018800,Manhattan,2013,1036.0,29648.0,5537,965,2510,346
018800,Queens,2013,1668.89219099574,75551.64588821314,1344,11,426,35
018900,Bronx,2013,1036.0,22875.0,7978,97,2877,163
018900,Manhattan,2013,782.0,30417.0,12391,3214,5230,255
018900,Queens,2013,1374.0,53640.0,3496,940,1446,38
018901,Staten Island,2013,1195.0572687647987,71782.20075034138,5427,3904,2185,47
018902,Staten Island,2013,1688.0,76414.0,4958,2819,1750,64
019000,Brooklyn,2013,1113.0,39479.0,5398,1990,1745,80
019000,Manhattan,2013,696.0,57275.0,2954,482,1653,326
019000,Queens,2013,1333.0,65833.0,2128,8,680,54
019100,Brooklyn,2013,1766.0,68558.0,2779,1022,1182,243
019100,Manhattan,2013,1685.0,90711.0,9720,6652,4894,345
019200,Brooklyn,2013,970.0,34263.0,3015,1683,884,119
019200,Manhattan,2013,437.0,16417.0,3981,97,1299,30
019200,Queens,2013,1153.2076814081731,51152.27538874491,1836,6,735,96
019300,Bronx,2013,713.0,20297.0,5232,0,2008,74
019300,Brooklyn,2013,1195.0,48542.0,5636,2130,2212,151
019300,Manhattan,2013,1111.0,33885.0,9834,3109,4229,285
019400,Bronx,2013,1425.0,51309.0,2137,475,755,36
019400,Brooklyn,2013,1124.0,38542.0,3687,916,1203,51
019400,Manhattan,2013,509.0,16051.0,6100,230,2557,331
019400,Queens,2013,1572.4477454653725,63297.01014080232,2406,1,884,84
019500,Bronx,2013,1008.0,32051.0,7556,34,2744,184
019500,Brooklyn,2013,1392.0,67468.0,4260,1361,1956,157
019500,Manhattan,2013,1847.0,91504.0,7560,4862,3740,383
019600,Brooklyn,2013,1194.0,39127.0,5241,1804,1615,72
019600,Manhattan,2013,524.0,16971.0,4381,163,1573,140
019600,Queens,2013,1336.0,55481.0,2670,8,839,117
019700,Bronx,2013,1037.981586547186,27897.296940892553,7622,220,2333,142
019700,Brooklyn,2013,1601.0,77803.0,3291,1524,1762,198
019700,Staten Island,2013,1271.0,100250.0,1816,1501,715,11
019701,Manhattan,2013,2001.0,84500.0,962,539,497,55
019702,Manhattan,2013,1051.0,60439.0,2120,618,1209,189
019800,Brooklyn,2013,1156.0,53472.0,1853,1452,738,30
019800,Manhattan,2013,1128.0,76026.0,2101,418,1179,93
019800,Queens,2013,1336.0,34500.0,2805,31,892,129
019800,Staten Island,2013,1624.9140116222404,89317.74090417825,6824,6064,2327,191
019900,Bronx,2013,957.0,26187.0,7318,103,2895,281
019900,Brooklyn,2013,1453.0,63295.0,2704,1221,1550,291
019900,Manhattan,2013,1642.0,64931.0,10068,5820,3702,306
019901,Queens,2013,1278.0,64917.0,227,13,56,12
019902,Queens,2013,1304.2794775843283,66905.84586506238,546,67,145,28
019903,Queens,2013,1279.2900410778739,64548.661549945384,461,26,116,25
020000,Bronx,2013,1059.0981888417202,34961.31110683041,4330,501,1572,127
020000,Brooklyn,2013,1446.0,66528.0,2169,1068,813,87
020000,Manhattan,2013,1078.0,66837.0,2933,605,1636,308
020100,Bronx,2013,1064.0,30848.0,4199,55,1373,84
020100,Brooklyn,2013,1594.0,76409.0,3574,1552,1922,176
020100,Staten Island,2013,1230.0,82625.0,3580,2169,1351,120
020101,Manhattan,2013,1733.0,72212.0,2063,1150,323,14
020102,Manhattan,2013,1081.0,44810.0,4163,1086,1883,144
020200,Bronx,2013,1138.0,39259.0,2267,129,805,45
020200,Brooklyn,2013,1291.0,70069.0,2031,1435,712,63
020200,Queens,2013,1068.2447196278908,56792.960470150334,1835,5,498,2
020300,Brooklyn,2013,2001.0,109000.0,1763,812,801,85
020300,Manhattan,2013,1517.0,26830.0,3505,1928,564,47
020400,Bronx,2013,1187.0,50815.0,3143,273,1134,134
020400,Brooklyn,2013,1176.0,69148.0,1640,1300,654,67
020400,Queens,2013,1007.0,40859.0,1997,44,654,54
020500,Brooklyn,2013,1822.0,75833.0,2680,1528,1418,118
020500,Manhattan,2013,1898.0,112250.0,4894,3249,1296,93
020500,Queens,2013,1338.5904070915565,47476.96039890005,1013,104,397,88
020501,Bronx,2013,858.5931213152015,26307.001050494036,7154,5,2707,90
020502,Bronx,2013,948.9236490053067,25015.23094525824,2087,150,969,134
020600,Brooklyn,2013,1292.9053076878704,82337.00516777602,2588,1599,874,62
020600,Manhattan,2013,881.0,33139.0,2629,263,1520,307
020600,Queens,2013,1312.9627662435976,54861.63211620168,1503,61,542,86
020601,Bronx,2013,1153.3029713311967,53104.41577132163,3112,108,1085,63
020700,Brooklyn,2013,1680.0,98558.0,4448,2373,2260,179
020701,Manhattan,2013,1614.0,50125.0,3258,1931,1414,54
020701,Staten Island,2013,1115.2506908893931,38166.43700158708,1976,242,766,152
020702,Staten Island,2013,1114.0,38060.0,3143,383,1219,242
020800,Brooklyn,2013,1247.0,56467.0,3038,1656,1121,114
020800,Manhattan,2013,882.0,34475.0,5153,942,2602,549
020800,Queens,2013,1292.610371562654,57763.34198246365,2901,558,817,15
020803,Staten Island,2013,1196.0,89800.0,6114,5445,2248,102
020804,Staten Island,2013,1145.0,93036.0,5493,4799,1921,46
020805,Staten Island,2013,1253.0,72155.0,3787,3210,1406,44
020806,Staten Island,2013,1253.0,72155.0,4873,4130,1809,57
020900,Bronx,2013,978.8419759750635,29539.19987648304,4376,6,1653,121
020901,Manhattan,2013,504.0,24054.0,4052,210,1558,120
021000,Brooklyn,2013,1179.0,55547.0,4805,1675,1506,45
021000,Manhattan,2013,713.4069678776335,32080.59359115199,7477,269,3165,232
021001,Bronx,2013,1131.0,48010.0,9248,237,4057,271
021002,Bronx,2013,1095.0,47353.0,6276,286,3154,183
021100,Bronx,2013,986.2349529107713,24093.434366086833,5494,0,1923,133
021100,Brooklyn,2013,1042.0872247969291,49687.27224856049,1237,192,574,87
021100,Manhattan,2013,1194.0,56053.0,9868,3473,4609,353
021200,Bronx,2013,1164.6915133518335,54262.41575231034,5480,312,2307,144
021200,Brooklyn,2013,1134.0,35947.0,5279,1082,1560,132
021200,Manhattan,2013,1216.0,51362.0,4025,251,2704,348
021200,Queens,2013,1099.2099057048028,34782.49858580052,2463,177,726,49
021300,Brooklyn,2013,1094.0,42022.0,4422,672,1962,75
021300,Staten Island,2013,994.0,52607.0,5088,1394,1774,137
021301,Bronx,2013,953.6337600436527,22861.42304877675,1272,0,432,15
021302,Bronx,2013,969.7917696091007,26111.552719573923,5689,23,1927,38
021303,Manhattan,2013,1011.0,34336.0,5898,693,2428,248
021400,Brooklyn,2013,1173.0,47679.0,2488,990,639,58
021400,Manhattan,2013,1041.8033060616588,37492.60608017222,2845,236,1989,176
021400,Queens,2013,1285.4154777738308,49735.898643098975,5746,636,2240,85
021500,Brooklyn,2013,1231.0,55969.0,5414,2164,2678,212
021500,Manhattan,2013,834.0,32326.0,3241,418,1374,197
021501,Bronx,2013,1030.1977710075093,30754.293047222796,4087,36,1372,227
021502,Bronx,2013,956.0,19421.0,5965,148,2099,120
021600,Brooklyn,2013,1318.0,34688.0,4027,2784,1096,49
021600,Manhattan,2013,1019.0,43454.0,8372,1583,3799,593
021601,Bronx,2013,1132.0,22818.0,4132,360,1692,162
021601,Queens,2013,1338.15563715835,62856.979101786485,1535,516,711,48
021602,Bronx,2013,1151.0,44420.0,6259,136,2565,114
021602,Queens,2013,1333.0883517779257,62621.48168641748,758,253,349,23
021603,Queens,2013,1337.0,62903.0,2004,670,926,62
021700,Bronx,2013,989.3815708029256,20764.868266496767,5125,72,1845,242
021700,Brooklyn,2013,993.0,50469.0,3260,829,1690,187
021800,Bronx,2013,1116.2222557537923,33307.45658432126,5532,77,2192,164
021800,Brooklyn,2013,1287.0,33344.0,4923,4207,1105,33
021800,Manhattan,2013,1089.0,51217.0,7024,1708,2920,253
021900,Bronx,2013,1031.6422979052145,30681.602483799295,1407,23,467,8
021900,Brooklyn,2013,1184.0,38372.0,3707,692,1691,181
021900,Manhattan,2013,543.0,16818.0,5978,164,2241,237
021900,Queens,2013,825.0,41275.0,23,7,9,1
022000,Bronx,2013,1256.8224804584988,13478.05455614549,1535,16,460,38
022000,Brooklyn,2013,1222.0,30236.0,4827,4117,1424,148
022000,Manhattan,2013,950.0,33710.0,6323,727,2897,360
022001,Queens,2013,1365.4938998778266,60252.64826555203,5822,2098,2831,182
022002,Queens,2013,1293.8950166130835,60190.34280668991,5946,2038,2651,142
022100,Brooklyn,2013,1257.0347880736076,48495.74325612238,4441,1022,1731,102
022101,Bronx,2013,1016.0,27058.0,3812,78,1179,46
022102,Bronx,2013,1090.0,18241.0,4907,47,1685,174
022102,Manhattan,2013,1097.0,41563.0,2266,532,1335,164
022200,Bronx,2013,1187.0,45000.0,3171,130,1193,117
022200,Brooklyn,2013,1211.0,29949.0,4371,3802,1235,134
022200,Manhattan,2013,1045.0,37317.0,3001,749,1502,322
022300,Bronx,2013,1051.5027101953062,31431.750863080022,5916,142,1836,27
022300,Staten Island,2013,1504.0,71250.0,2656,692,982,222
022301,Manhattan,2013,1022.0,31122.0,8261,972,2504,187
022302,Manhattan,2013,937.0,23208.0,3409,399,1514,33
022400,Brooklyn,2013,1374.0,38442.0,5747,3796,1460,137
022400,Manhattan,2013,632.0,25409.0,6889,294,2835,248
022401,Bronx,2013,1201.0,40184.0,2612,439,1144,19
022403,Bronx,2013,1160.0,34818.0,3312,743,1364,69
022404,Bronx,2013,1116.0,41458.0,4057,1261,1798,52
022500,Bronx,2013,1120.3060439520793,32143.00942521542,8317,327,2360,139
022500,Manhattan,2013,980.1658502757019,45393.9717772339,10171,1386,3866,417
022600,Brooklyn,2013,1338.0,44452.0,2551,542,689,59
022600,Manhattan,2013,941.0,35967.0,4310,393,2316,617
022601,Staten Island,2013,1238.0,85352.0,1556,1077,477,17
022602,Staten Island,2013,1238.0,85352.0,7344,5083,2252,80
022700,Brooklyn,2013,1256.0,47083.0,3317,658,1626,316
022700,Manhattan,2013,1142.0,45375.0,5553,577,2537,303
022701,Bronx,2013,1044.1576076998379,32269.83674911014,5972,82,1880,85
022702,Bronx,2013,941.0,42955.0,1559,20,619,15
022703,Bronx,2013,1152.0,42500.0,1732,83,574,11
022800,Bronx,2013,1246.0,45000.0,6396,1040,2588,154
022800,Brooklyn,2013,1322.0,35221.0,3646,1820,896,141
022800,Manhattan,2013,957.0,39167.0,5282,841,2729,403
022801,Staten Island,2013,1244.2894802826802,79818.51524729797,47,35,16,1
022900,Brooklyn,2013,1367.0,62000.0,3576,952,1800,248
022900,Manhattan,2013,1091.0,33060.0,8496,1118,3076,308
022900,Queens,2013,1345.1822941633063,64473.93021779765,12,8,6,1
022901,Bronx,2013,996.1282911906609,23516.02759743646,4866,60,1891,212
022902,Bronx,2013,1010.0,24750.0,3232,108,1071,50
023000,Bronx,2013,1216.0,51411.0,3341,569,1075,34
023000,Brooklyn,2013,1268.0,26611.0,4013,2775,1081,91
023000,Manhattan,2013,820.0,34522.0,9608,651,4026,377
023000,Queens,2013,1471.394793257991,100059.24287307936,2222,497,547,49
023100,Bronx,2013,1170.0715581488607,28781.20197435812,1529,11,450,35
023100,Brooklyn,2013,1327.0,75248.0,3324,1618,1651,228
023100,Manhattan,2013,1123.0,39892.0,6066,1559,2894,235
023100,Staten Island,2013,1164.0,61827.0,4342,872,1500,184
023200,Bronx,2013,1193.0,48125.0,2731,487,932,84
023200,Brooklyn,2013,1080.0,26633.0,6258,5148,1645,132
023200,Manhattan,2013,721.0,27439.0,8409,97,3302,269
023200,Queens,2013,1358.2925820137252,63531.847748709704,5445,1041,1883,155
023300,Brooklyn,2013,790.0,37917.0,5125,721,2013,174
023300,Manhattan,2013,1130.7955138718398,36447.593118340366,6465,1335,2681,212
023301,Bronx,2013,1024.820265822927,27655.340739268744,4493,2,1589,76
023302,Bronx,2013,1123.5931979944255,18606.4833120692,2999,46,1012,110
023400,Brooklyn,2013,1312.0,28618.0,5318,5255,1495,92
023400,Manhattan,2013,1035.0,32210.0,5183,415,2273,189
023500,Brooklyn,2013,1447.0,48388.0,3990,1998,1278,137
023501,Bronx,2013,1087.6088067354367,33740.39312305465,3550,20,1143,37
023501,Manhattan,2013,946.0,39913.0,6499,568,2577,134
023501,Queens,2013,1323.0054515049087,46600.30664715112,4382,349,1455,45
023502,Bronx,2013,965.5461677571093,23135.619761534235,4810,156,1736,58
023502,Manhattan,2013,1021.0,30288.0,2012,253,954,176
023502,Queens,2013,1323.0,46600.0,3689,294,1225,38
023600,Bronx,2013,1222.0,39306.0,2325,416,677,27
023600,Brooklyn,2013,1330.0,24548.0,4992,4761,1697,85
023600,Manhattan,2013,809.4356317731022,37636.51977898072,6782,92,3177,89
023600,Queens,2013,1249.0,41250.0,2511,277,765,16
023700,Manhattan,2013,1094.6437784683383,36511.984573013855,7804,852,2741,255
023702,Bronx,2013,946.5023829553826,14359.67050943813,1299,53,357,6
023703,Bronx,2013,1072.0,28641.0,4989,163,1576,187
023704,Bronx,2013,1139.0,19076.0,3645,34,1290,69
023800,Bronx,2013,1410.0,56283.0,2537,421,898,126
023800,Brooklyn,2013,1196.0,26462.0,3872,3835,1387,73
023800,Queens,2013,1138.0,37313.0,4419,221,1510,126
023802,Manhattan,2013,1972.108209376201,118691.88820332423,2614,1369,683,87
023803,Manhattan,2013,1846.9303084453616,77139.5348637122,2256,950,985,81
023804,Manhattan,2013,1848.2681946873947,77657.5673711775,7566,3217,3357,282
023900,Bronx,2013,1069.7428323601096,21539.896599722684,8331,186,2659,123
023900,Manhattan,2013,857.0,35238.0,2247,227,1015,44
023900,Staten Island,2013,1225.4390311655545,54976.49180839833,2933,669,1182,173
024000,Bronx,2013,1254.0,34544.0,3808,286,1318,130
024000,Brooklyn,2013,1189.0,28235.0,3974,3490,1374,138
024000,Manhattan,2013,1378.0,51586.0,439,277,244,23
024000,Queens,2013,1223.9348826066375,36451.95295365911,5982,157,1946,48
024100,Bronx,2013,1017.0081179037993,20666.135637439653,6283,65,2045,202
024100,Brooklyn,2013,1410.0,49091.0,2308,909,1161,253
024100,Manhattan,2013,1009.1819785454463,42018.58603882955,7723,723,3450,364
024200,Brooklyn,2013,1294.0,39583.0,3120,2789,896,64
024200,Manhattan,2013,399.72113751627916,18883.29106010721,3600,140,1387,73
024300,Bronx,2013,948.5483350246014,21373.359853595113,5699,64,2056,131
024300,Brooklyn,2013,1055.0,46449.0,4132,862,1915,134
024300,Queens,2013,1495.5370505861877,60645.26420310199,5608,1518,1980,189
024301,Manhattan,2013,1122.0,32394.0,4143,513,1494,166
024302,Manhattan,2013,416.6189632216004,19982.864369762225,6826,49,2464,89
024400,Bronx,2013,1322.4627373825092,67412.16925186916,2546,881,862,64
024400,Brooklyn,2013,1156.0,34732.0,3324,2418,1049,80
024401,Staten Island,2013,1446.0,94038.0,6372,5874,2111,113
024402,Staten Island,2013,1575.7618996279316,79526.62694776255,4070,3133,1687,261
024500,Brooklyn,2013,1123.0,48974.0,4046,373,2016,446
024500,Manhattan,2013,969.0,32789.0,16019,836,4903,191
024500,Queens,2013,1070.8394429192206,51675.77996346667,5504,1932,2081,15
024501,Bronx,2013,934.8678710523318,25885.97307955843,5190,14,1619,98
024502,Bronx,2013,854.8134689313723,26041.248744143606,3887,31,1186,103
024600,Bronx,2013,1218.0,69013.0,2271,928,795,16
024600,Brooklyn,2013,1168.0,49219.0,3423,2184,1022,71
024600,Queens,2013,868.0,32574.0,55,0,21,2
024700,Bronx,2013,1133.9526617201332,39494.3991441985,1932,120,697,12
