borough,geoid,year,major_alterations,minor_alterations,new_buildings,total_permits
Bronx,000100,2009,0,9,0,9
Bronx,000100,2011,0,19,1,20
Bronx,000100,2012,0,10,0,10
Bronx,000100,2013,0,5,0,5
Bronx,000100,2014,0,16,0,16
Bronx,000100,2015,0,2,0,2
Bronx,000100,2016,0,2,0,2
Bronx,000100,2017,0,3,0,3
Bronx,000100,2019,0,13,0,13
Bronx,000100,2021,0,3,0,3
Bronx,000200,2009,0,6,0,6
Bronx,000200,2010,0,6,2,8
Bronx,000200,2011,2,3,1,6
Bronx,000200,2012,0,4,0,4
Bronx,000200,2013,0,2,0,2
Bronx,000200,2014,1,5,0,6
Bronx,000200,2015,0,8,0,8
Bronx,000200,2016,0,8,0,8
Bronx,000200,2017,4,10,4,18
Bronx,000200,2018,3,13,0,16
Bronx,000200,2019,0,8,0,8
Bronx,000200,2020,1,6,2,9
Bronx,000200,2021,0,12,0,12
Bronx,000200,2022,0,16,0,16
Bronx,000200,2023,0,8,0,8
Bronx,000400,2009,1,12,20,33
Bronx,000400,2010,2,8,3,13
Bronx,000400,2011,0,4,0,4
Bronx,000400,2012,2,10,0,12
Bronx,000400,2013,0,4,0,4
Bronx,000400,2014,0,34,0,34
Bronx,000400,2015,0,30,4,34
Bronx,000400,2016,2,21,0,23
Bronx,000400,2017,1,25,0,26
Bronx,000400,2018,1,21,2,24
Bronx,000400,2019,2,7,7,16
Bronx,000400,2020,4,23,0,27
Bronx,000400,2021,0,11,0,11
Bronx,000400,2022,0,10,0,10
Bronx,000400,2023,0,7,0,7
Bronx,001600,2009,1,5,2,8
Bronx,001600,2010,0,9,0,9
Bronx,001600,2011,0,4,0,4
Bronx,001600,2012,0,8,0,8
Bronx,001600,2013,1,7,0,8
Bronx,001600,2014,1,10,0,11
Bronx,001600,2015,0,17,0,17
Bronx,001600,2016,1,16,0,17
Bronx,001600,2017,0,19,3,22
Bronx,001600,2018,0,23,0,23
Bronx,001600,2019,2,11,0,13
Bronx,001600,2020,0,6,12,18
Bronx,001600,2021,0,12,0,12
Bronx,001600,2022,0,11,0,11
Bronx,001600,2023,0,4,0,4
Bronx,001901,2009,3,21,2,26
Bronx,001901,2010,0,13,0,13
Bronx,001901,2011,1,4,0,5
Bronx,001901,2013,0,4,1,5
Bronx,001901,2014,4,11,4,19
Bronx,001901,2015,0,11,8,19
Bronx,001901,2016,0,22,0,22
Bronx,001901,2017,0,21,1,22
Bronx,001901,2018,3,8,2,13
Bronx,001901,2019,0,6,2,8
Bronx,001901,2020,0,14,1,15
Bronx,001901,2021,0,11,0,11
Bronx,001901,2022,1,1,0,2
Bronx,001901,2023,0,1,0,1
Bronx,001902,2009,2,14,0,16
Bronx,001902,2010,3,27,0,30
Bronx,001902,2011,1,14,0,15
Bronx,001902,2012,7,21,0,28
Bronx,001902,2013,0,15,3,18
Bronx,001902,2014,6,25,0,31
Bronx,001902,2015,2,23,10,35
Bronx,001902,2016,4,35,0,39
Bronx,001902,2017,0,17,0,17
Bronx,001902,2018,0,17,0,17
Bronx,001902,2019,1,7,1,9
Bronx,001902,2020,0,17,1,18
Bronx,001902,2021,0,4,0,4
Bronx,001902,2022,0,2,0,2
Bronx,001902,2023,0,1,0,1
Bronx,001903,2009,0,22,0,22
Bronx,001903,2010,3,5,0,8
Bronx,001903,2011,0,11,0,11
Bronx,001903,2012,1,14,0,15
Bronx,001903,2013,2,25,5,32
Bronx,001903,2014,3,52,4,59
Bronx,001903,2015,1,33,0,34
Bronx,001903,2016,0,24,0,24
Bronx,001903,2017,7,26,0,33
Bronx,001903,2018,1,16,0,17
Bronx,001903,2019,0,3,0,3
Bronx,001903,2020,0,7,0,7
Bronx,001903,2021,0,3,0,3
Bronx,001903,2022,0,5,0,5
Bronx,001904,2015,0,1,0,1
Bronx,001904,2016,0,2,0,2
Bronx,002001,2009,0,4,0,4
Bronx,002001,2010,0,26,0,26
Bronx,002001,2011,0,5,0,5
Bronx,002001,2012,0,1,5,6
Bronx,002001,2013,0,31,0,31
Bronx,002001,2014,0,5,0,5
Bronx,002001,2015,0,5,0,5
Bronx,002001,2016,0,2,0,2
Bronx,002001,2017,0,2,0,2
Bronx,002001,2018,0,7,23,30
Bronx,002001,2019,0,15,5,20
Bronx,002002,2010,0,6,0,6
Bronx,002002,2011,0,6,0,6
Bronx,002002,2012,2,2,0,4
Bronx,002002,2013,0,5,0,5
Bronx,002002,2014,0,1,0,1
Bronx,002002,2015,0,5,0,5
Bronx,002002,2016,2,6,1,9
Bronx,002002,2017,0,6,0,6
Bronx,002002,2018,0,15,0,15
Bronx,002002,2019,0,4,0,4
Bronx,002002,2020,0,5,0,5
Bronx,002002,2021,0,9,0,9
Bronx,002002,2022,0,5,0,5
Bronx,002002,2023,0,7,0,7
Bronx,002300,2012,0,1,0,1
Bronx,002300,2013,1,1,0,2
Bronx,002300,2014,0,6,0,6
Bronx,002300,2015,0,4,0,4
Bronx,002300,2016,0,6,0,6
Bronx,002300,2017,0,2,0,2
Bronx,002300,2018,0,3,0,3
Bronx,002300,2020,0,7,0,7
Bronx,002400,2010,0,0,4,4
Bronx,002400,2011,0,2,0,2
Bronx,002400,2013,0,1,0,1
Bronx,002400,2015,0,1,0,1
Bronx,002400,2019,0,1,1,2
Bronx,002500,2009,1,10,0,11
Bronx,002500,2010,0,15,0,15
Bronx,002500,2011,0,13,0,13
Bronx,002500,2012,1,30,0,31
Bronx,002500,2013,0,13,0,13
Bronx,002500,2014,0,38,0,38
Bronx,002500,2015,2,6,0,8
Bronx,002500,2016,2,15,2,19
Bronx,002500,2017,1,10,0,11
Bronx,002500,2018,0,37,0,37
Bronx,002500,2019,3,6,0,9
Bronx,002500,2020,5,8,0,13
Bronx,002500,2022,0,2,0,2
Bronx,002701,2009,1,2,0,3
Bronx,002701,2010,0,3,0,3
Bronx,002701,2011,0,2,0,2
Bronx,002701,2012,0,2,0,2
Bronx,002701,2013,0,3,0,3
Bronx,002701,2014,0,4,0,4
Bronx,002701,2015,0,2,0,2
Bronx,002701,2016,0,2,0,2
Bronx,002701,2017,0,8,1,9
Bronx,002701,2018,1,5,0,6
Bronx,002701,2019,0,1,0,1
Bronx,002701,2020,0,3,0,3
Bronx,002702,2009,0,3,0,3
Bronx,002702,2010,0,12,0,12
Bronx,002702,2011,0,10,0,10
Bronx,002702,2012,0,15,2,17
Bronx,002702,2013,0,9,1,10
Bronx,002702,2014,0,3,0,3
Bronx,002702,2015,0,9,0,9
Bronx,002702,2016,2,12,0,14
Bronx,002702,2017,0,16,0,16
Bronx,002702,2018,1,9,0,10
Bronx,002702,2019,0,3,0,3
Bronx,002702,2020,2,5,0,7
Bronx,002702,2023,0,2,0,2
Bronx,002800,2009,0,6,0,6
Bronx,002800,2010,0,2,0,2
Bronx,002800,2011,2,7,0,9
Bronx,002800,2012,0,14,0,14
Bronx,002800,2013,0,5,1,6
Bronx,002800,2014,2,4,0,6
Bronx,002800,2015,8,11,4,23
Bronx,002800,2016,0,18,4,22
Bronx,002800,2017,0,9,0,9
Bronx,002800,2018,0,5,0,5
Bronx,002800,2020,0,9,0,9
Bronx,002800,2023,0,2,0,2
Bronx,003100,2009,0,4,0,4
Bronx,003100,2010,0,10,0,10
Bronx,003100,2011,0,5,0,5
Bronx,003100,2012,0,6,2,8
Bronx,003100,2013,1,11,2,14
Bronx,003100,2014,1,11,4,16
Bronx,003100,2015,0,11,1,12
Bronx,003100,2016,0,20,7,27
Bronx,003100,2017,0,8,0,8
Bronx,003100,2018,0,2,0,2
Bronx,003100,2019,0,9,2,11
Bronx,003100,2020,0,6,0,6
Bronx,003100,2021,0,2,0,2
Bronx,003300,2009,0,5,0,5
Bronx,003300,2011,2,12,0,14
Bronx,003300,2012,1,9,0,10
Bronx,003300,2013,0,2,0,2
Bronx,003300,2014,1,16,0,17
Bronx,003300,2015,0,5,0,5
Bronx,003300,2016,0,10,0,10
Bronx,003300,2017,0,17,0,17
Bronx,003300,2018,0,6,0,6
Bronx,003300,2019,0,8,0,8
Bronx,003300,2020,1,8,0,9
Bronx,003300,2021,0,1,0,1
Bronx,003300,2022,0,2,0,2
Bronx,003500,2009,0,3,0,3
Bronx,003500,2010,0,4,0,4
Bronx,003500,2011,1,10,2,13
Bronx,003500,2012,0,6,0,6
Bronx,003500,2013,1,23,0,24
Bronx,003500,2014,0,12,0,12
Bronx,003500,2015,0,15,0,15
Bronx,003500,2016,0,16,6,22
Bronx,003500,2017,0,18,2,20
Bronx,003500,2018,0,7,2,9
Bronx,003500,2019,0,15,1,16
Bronx,003500,2020,0,4,0,4
Bronx,003500,2022,0,3,0,3
Bronx,003700,2009,0,3,0,3
Bronx,003700,2010,0,1,0,1
Bronx,003700,2012,0,1,0,1
Bronx,003700,2013,0,1,0,1
Bronx,003700,2014,0,4,0,4
Bronx,003700,2016,0,3,0,3
Bronx,003700,2017,0,2,0,2
Bronx,003700,2018,0,5,0,5
Bronx,003800,2009,0,1,0,1
Bronx,003800,2013,0,5,1,6
Bronx,003800,2014,0,4,0,4
Bronx,003800,2015,0,3,2,5
Bronx,003800,2016,0,2,0,2
Bronx,003800,2018,0,2,0,2
Bronx,003800,2021,0,6,0,6
Bronx,003800,2023,0,1,0,1
Bronx,003900,2009,1,3,0,4
Bronx,003900,2010,1,23,0,24
Bronx,003900,2011,4,19,0,23
Bronx,003900,2012,1,19,3,23
Bronx,003900,2013,1,26,1,28
Bronx,003900,2014,0,32,0,32
Bronx,003900,2015,0,15,4,19
Bronx,003900,2016,1,38,2,41
Bronx,003900,2017,2,26,1,29
Bronx,003900,2018,1,14,0,15
Bronx,003900,2019,2,7,0,9
Bronx,003900,2020,0,12,5,17
Bronx,003900,2021,0,2,0,2
Bronx,003900,2022,0,3,0,3
Bronx,003900,2023,1,1,0,2
Bronx,004001,2009,0,4,0,4
Bronx,004001,2011,0,1,0,1
Bronx,004001,2012,0,1,0,1
Bronx,004001,2013,0,5,0,5
Bronx,004001,2014,2,0,3,5
Bronx,004001,2015,2,20,7,29
Bronx,004001,2016,0,5,0,5
Bronx,004001,2017,0,8,0,8
Bronx,004001,2018,0,16,0,16
Bronx,004001,2019,2,34,0,36
Bronx,004001,2020,0,6,0,6
Bronx,004001,2021,0,11,0,11
Bronx,004001,2022,0,1,0,1
Bronx,004001,2023,0,1,0,1
Bronx,004100,2009,0,14,0,14
Bronx,004100,2010,2,27,2,31
Bronx,004100,2011,0,17,0,17
Bronx,004100,2012,0,31,0,31
Bronx,004100,2013,0,5,0,5
Bronx,004100,2014,0,22,0,22
Bronx,004100,2015,0,14,0,14
Bronx,004100,2016,0,6,0,6
Bronx,004100,2017,1,15,1,17
Bronx,004100,2018,6,20,3,29
Bronx,004100,2019,0,15,0,15
Bronx,004100,2020,0,4,0,4
Bronx,004100,2021,1,4,0,5
Bronx,004100,2022,0,1,0,1
Bronx,004100,2023,0,1,0,1
Bronx,004200,2009,0,18,0,18
Bronx,004200,2010,4,8,0,12
Bronx,004200,2011,2,12,0,14
Bronx,004200,2012,3,3,0,6
Bronx,004200,2013,0,3,0,3
Bronx,004200,2014,0,7,0,7
Bronx,004200,2015,4,20,0,24
Bronx,004200,2016,0,9,0,9
Bronx,004200,2017,4,24,0,28
Bronx,004200,2018,5,20,0,25
Bronx,004200,2019,0,6,0,6
Bronx,004200,2020,0,2,0,2
Bronx,004200,2021,0,1,0,1
Bronx,004200,2022,0,1,0,1
Bronx,004300,2009,0,8,0,8
Bronx,004300,2010,3,19,0,22
Bronx,004300,2011,0,11,2,13
Bronx,004300,2012,0,40,0,40
Bronx,004300,2013,0,14,0,14
Bronx,004300,2014,0,25,1,26
Bronx,004300,2015,0,18,0,18
Bronx,004300,2016,2,22,0,24
Bronx,004300,2017,2,20,4,26
Bronx,004300,2018,7,39,9,55
Bronx,004300,2019,1,19,2,22
Bronx,004300,2020,1,23,0,24
Bronx,004300,2021,3,12,0,15
Bronx,004300,2022,0,5,0,5
Bronx,004300,2023,0,2,0,2
Bronx,004400,2009,1,2,0,3
Bronx,004400,2010,0,1,0,1
Bronx,004400,2011,0,4,4,8
Bronx,004400,2012,3,4,0,7
Bronx,004400,2013,2,9,12,23
Bronx,004400,2014,0,5,0,5
Bronx,004400,2015,0,28,0,28
Bronx,004400,2016,0,25,0,25
Bronx,004400,2017,0,30,0,30
Bronx,004400,2018,0,61,0,61
Bronx,004400,2019,0,5,0,5
Bronx,004400,2020,0,7,5,12
Bronx,004400,2021,0,1,0,1
Bronx,004600,2009,2,2,0,4
Bronx,004600,2010,0,9,0,9
Bronx,004600,2011,0,7,0,7
Bronx,004600,2012,0,3,0,3
Bronx,004600,2013,0,34,0,34
Bronx,004600,2014,0,11,6,17
Bronx,004600,2015,0,5,0,5
Bronx,004600,2016,0,6,0,6
Bronx,004600,2017,0,2,0,2
Bronx,004600,2018,0,3,0,3
Bronx,004600,2019,0,4,0,4
Bronx,004600,2020,2,2,0,4
Bronx,004800,2009,0,7,0,7
Bronx,004800,2010,0,2,0,2
Bronx,004800,2011,0,8,0,8
Bronx,004800,2012,0,9,0,9
Bronx,004800,2013,0,13,0,13
Bronx,004800,2014,0,10,0,10
Bronx,004800,2015,0,12,0,12
Bronx,004800,2016,0,5,0,5
Bronx,004800,2017,0,5,0,5
Bronx,004800,2018,0,2,0,2
Bronx,004800,2019,1,4,0,5
Bronx,004800,2020,0,8,0,8
Bronx,004800,2021,0,2,0,2
Bronx,004800,2022,0,1,0,1
Bronx,005001,2009,0,6,0,6
Bronx,005001,2010,1,8,0,9
Bronx,005001,2011,0,8,0,8
Bronx,005001,2012,0,3,0,3
Bronx,005001,2013,0,5,0,5
Bronx,005001,2014,0,4,0,4
Bronx,005001,2015,0,8,0,8
Bronx,005001,2016,0,7,0,7
Bronx,005001,2017,0,1,0,1
Bronx,005001,2018,0,13,0,13
Bronx,005001,2019,3,9,0,12
Bronx,005001,2020,0,13,0,13
Bronx,005001,2021,0,4,0,4
Bronx,005001,2022,0,2,0,2
Bronx,005001,2023,0,3,0,3
Bronx,005002,2009,4,1,0,5
Bronx,005002,2010,0,7,0,7
Bronx,005002,2011,0,9,0,9
Bronx,005002,2012,0,9,0,9
Bronx,005002,2013,1,14,0,15
Bronx,005002,2014,0,15,0,15
Bronx,005002,2015,0,10,0,10
Bronx,005002,2016,1,13,5,19
Bronx,005002,2017,3,12,0,15
Bronx,005002,2018,3,20,0,23
Bronx,005002,2019,1,10,0,11
Bronx,005002,2020,1,5,0,6
Bronx,005002,2021,0,7,0,7
Bronx,005002,2022,0,1,0,1
Bronx,005100,2009,2,21,1,24
Bronx,005100,2010,0,31,4,35
Bronx,005100,2011,4,26,3,33
Bronx,005100,2012,0,29,0,29
Bronx,005100,2013,0,27,0,27
Bronx,005100,2014,0,39,1,40
Bronx,005100,2015,1,59,17,77
Bronx,005100,2016,2,38,2,42
Bronx,005100,2017,2,46,1,49
Bronx,005100,2018,2,33,3,38
Bronx,005100,2019,1,18,24,43
Bronx,005100,2020,2,12,3,17
Bronx,005100,2021,0,5,0,5
Bronx,005100,2022,0,7,0,7
Bronx,005100,2023,1,0,0,1
Bronx,005200,2010,0,4,0,4
Bronx,005200,2011,1,11,0,12
Bronx,005200,2012,0,7,0,7
Bronx,005200,2013,1,25,1,27
Bronx,005200,2014,0,9,0,9
Bronx,005200,2015,1,4,0,5
Bronx,005200,2016,0,12,0,12
Bronx,005200,2017,1,21,0,22
Bronx,005200,2018,0,9,0,9
Bronx,005200,2019,0,3,0,3
Bronx,005200,2020,3,5,0,8
Bronx,005200,2021,0,1,0,1
Bronx,005300,2009,0,1,0,1
Bronx,005300,2011,0,7,0,7
Bronx,005300,2012,0,10,0,10
Bronx,005300,2013,0,3,0,3
Bronx,005300,2014,0,6,0,6
Bronx,005300,2015,0,6,0,6
Bronx,005300,2016,0,5,0,5
Bronx,005300,2017,0,8,0,8
Bronx,005300,2018,0,1,0,1
Bronx,005300,2019,0,1,0,1
Bronx,005400,2009,0,9,0,9
Bronx,005400,2010,0,22,0,22
Bronx,005400,2011,1,3,0,4
Bronx,005400,2012,0,2,0,2
Bronx,005400,2013,2,18,0,20
Bronx,005400,2014,1,15,0,16
Bronx,005400,2015,0,6,0,6
Bronx,005400,2016,2,17,0,19
Bronx,005400,2017,3,19,0,22
Bronx,005400,2018,4,7,0,11
Bronx,005400,2019,1,7,0,8
Bronx,005400,2020,2,5,1,8
Bronx,005400,2021,0,16,10,26
Bronx,005400,2022,0,4,0,4
Bronx,005400,2023,0,1,0,1
Bronx,005600,2009,0,3,0,3
Bronx,005600,2011,0,13,0,13
Bronx,005600,2012,0,4,0,4
Bronx,005600,2013,0,9,0,9
Bronx,005600,2014,0,5,0,5
Bronx,005600,2015,0,2,0,2
Bronx,005600,2016,0,8,0,8
Bronx,005600,2017,0,7,0,7
Bronx,005600,2018,0,6,0,6
Bronx,005600,2019,0,3,0,3
Bronx,005600,2020,0,2,0,2
Bronx,005600,2021,0,9,0,9
Bronx,005600,2022,0,5,0,5
Bronx,005600,2023,0,2,0,2
Bronx,005902,2009,0,3,0,3
Bronx,005902,2010,0,3,0,3
Bronx,005902,2011,0,5,0,5
Bronx,005902,2012,0,1,0,1
Bronx,005902,2014,0,2,0,2
Bronx,005902,2015,1,6,0,7
Bronx,005902,2016,0,15,4,19
Bronx,005902,2017,0,8,9,17
Bronx,005902,2018,0,2,0,2
Bronx,005902,2019,0,6,1,7
Bronx,005902,2020,0,4,1,5
Bronx,005902,2021,0,1,0,1
Bronx,005902,2023,1,0,0,1
Bronx,006000,2009,0,6,2,8
Bronx,006000,2010,0,5,0,5
Bronx,006000,2011,0,4,1,5
Bronx,006000,2012,1,11,0,12
Bronx,006000,2013,0,5,0,5
Bronx,006000,2014,0,6,0,6
Bronx,006000,2015,0,10,0,10
Bronx,006000,2016,0,3,0,3
Bronx,006000,2017,0,7,0,7
Bronx,006000,2018,0,7,0,7
Bronx,006000,2021,0,5,0,5
Bronx,006100,2009,2,12,5,19
Bronx,006100,2010,0,10,0,10
Bronx,006100,2011,0,16,0,16
Bronx,006100,2012,0,16,0,16
Bronx,006100,2013,0,40,0,40
Bronx,006100,2014,3,26,0,29
Bronx,006100,2015,0,49,0,49
Bronx,006100,2016,0,56,0,56
Bronx,006100,2017,0,30,8,38
Bronx,006100,2018,0,4,0,4
Bronx,006100,2019,0,18,0,18
Bronx,006100,2020,0,5,0,5
Bronx,006200,2009,0,1,0,1
Bronx,006200,2010,0,10,0,10
Bronx,006200,2011,0,6,0,6
Bronx,006200,2013,0,11,0,11
Bronx,006200,2014,0,39,0,39
Bronx,006200,2015,0,7,0,7
Bronx,006200,2016,0,25,0,25
Bronx,006200,2017,0,15,0,15
Bronx,006200,2018,0,4,0,4
Bronx,006200,2019,2,4,0,6
Bronx,006200,2020,0,7,0,7
Bronx,006200,2021,0,1,0,1
Bronx,006200,2023,0,1,0,1
Bronx,006301,2009,4,81,2,87
Bronx,006301,2010,2,42,0,44
Bronx,006301,2011,4,29,0,33
Bronx,006301,2012,1,37,0,38
Bronx,006301,2013,3,45,0,48
Bronx,006301,2014,3,31,12,46
Bronx,006301,2015,0,35,5,40
Bronx,006301,2016,5,44,7,56
Bronx,006301,2017,1,57,10,68
Bronx,006301,2018,1,32,13,46
Bronx,006301,2019,2,29,20,51
Bronx,006301,2020,0,25,2,27
Bronx,006301,2021,1,3,0,4
Bronx,006301,2022,0,4,0,4
Bronx,006301,2023,0,8,0,8
Bronx,006302,2009,0,11,0,11
Bronx,006302,2010,0,8,0,8
Bronx,006302,2011,0,3,0,3
Bronx,006302,2012,0,3,0,3
Bronx,006302,2013,0,4,0,4
Bronx,006302,2014,0,7,0,7
Bronx,006302,2016,1,5,0,6
Bronx,006302,2017,0,4,0,4
Bronx,006302,2019,0,8,0,8
Bronx,006302,2020,0,2,0,2
Bronx,006302,2021,0,4,0,4
Bronx,006400,2009,2,3,0,5
Bronx,006400,2010,0,5,0,5
Bronx,006400,2011,1,0,0,1
Bronx,006400,2012,0,4,0,4
Bronx,006400,2013,0,3,0,3
Bronx,006400,2014,0,4,0,4
Bronx,006400,2015,0,8,0,8
Bronx,006400,2016,0,4,0,4
Bronx,006400,2017,0,8,0,8
Bronx,006400,2018,2,1,2,5
Bronx,006400,2019,0,5,0,5
Bronx,006400,2020,0,2,0,2
Bronx,006400,2021,0,1,0,1
Bronx,006400,2022,0,4,0,4
Bronx,006400,2023,0,7,0,7
Bronx,006500,2009,0,25,0,25
Bronx,006500,2010,5,32,1,38
Bronx,006500,2011,2,51,3,56
Bronx,006500,2012,1,37,0,38
Bronx,006500,2013,3,44,1,48
Bronx,006500,2014,5,41,0,46
Bronx,006500,2015,1,51,0,52
Bronx,006500,2016,4,70,3,77
Bronx,006500,2017,0,68,0,68
Bronx,006500,2018,7,56,3,66
Bronx,006500,2019,0,32,2,34
Bronx,006500,2020,6,21,1,28
Bronx,006500,2021,0,15,0,15
Bronx,006500,2023,0,2,0,2
Bronx,006700,2009,6,9,0,15
Bronx,006700,2010,0,22,0,22
Bronx,006700,2011,0,8,1,9
Bronx,006700,2012,2,29,0,31
Bronx,006700,2013,3,24,0,27
Bronx,006700,2014,3,44,0,47
Bronx,006700,2015,0,19,0,19
Bronx,006700,2016,3,35,0,38
Bronx,006700,2017,0,12,2,14
Bronx,006700,2018,2,10,1,13
Bronx,006700,2019,0,15,2,17
Bronx,006700,2020,0,8,0,8
Bronx,006700,2021,0,4,0,4
Bronx,006700,2022,0,1,0,1
Bronx,006700,2023,0,4,0,4
Bronx,006800,2009,0,8,2,10
Bronx,006800,2010,0,7,0,7
Bronx,006800,2012,0,1,0,1
Bronx,006800,2013,0,11,0,11
Bronx,006800,2014,0,2,0,2
Bronx,006800,2015,1,13,0,14
Bronx,006800,2016,0,4,0,4
Bronx,006800,2017,0,9,0,9
Bronx,006800,2018,2,6,0,8
Bronx,006800,2019,2,3,0,5
Bronx,006800,2020,0,3,0,3
Bronx,006800,2021,0,7,0,7
Bronx,006900,2009,0,11,0,11
Bronx,006900,2010,1,13,0,14
Bronx,006900,2011,0,9,0,9
Bronx,006900,2012,0,5,0,5
Bronx,006900,2013,0,13,0,13
Bronx,006900,2014,0,12,0,12
Bronx,006900,2015,0,11,1,12
Bronx,006900,2016,1,27,0,28
Bronx,006900,2017,0,20,1,21
Bronx,006900,2018,0,22,1,23
Bronx,006900,2019,0,3,2,5
Bronx,006900,2020,0,3,3,6
Bronx,006900,2021,0,0,1,1
Bronx,006900,2022,0,1,0,1
Bronx,006900,2023,0,2,0,2
Bronx,007000,2009,2,4,2,8
Bronx,007000,2010,0,6,0,6
Bronx,007000,2011,0,8,0,8
Bronx,007000,2012,0,7,1,8
Bronx,007000,2013,0,7,0,7
Bronx,007000,2014,1,8,0,9
Bronx,007000,2015,0,10,0,10
Bronx,007000,2016,0,8,0,8
Bronx,007000,2017,0,9,3,12
Bronx,007000,2018,2,10,5,17
Bronx,007000,2019,0,1,0,1
Bronx,007000,2020,1,8,0,9
Bronx,007000,2022,0,5,0,5
Bronx,007000,2023,0,1,0,1
Bronx,007100,2009,0,11,2,13
Bronx,007100,2010,0,16,0,16
Bronx,007100,2011,3,13,0,16
Bronx,007100,2012,1,10,0,11
Bronx,007100,2013,3,14,6,23
Bronx,007100,2014,0,15,0,15
Bronx,007100,2015,1,31,21,53
Bronx,007100,2016,2,38,9,49
Bronx,007100,2017,4,12,7,23
Bronx,007100,2018,0,33,1,34
Bronx,007100,2019,2,10,26,38
Bronx,007100,2020,0,10,8,18
Bronx,007100,2022,0,10,0,10
Bronx,007200,2009,3,11,1,15
Bronx,007200,2010,1,4,0,5
Bronx,007200,2011,0,17,0,17
Bronx,007200,2012,0,7,0,7
Bronx,007200,2013,0,12,0,12
Bronx,007200,2014,1,13,0,14
Bronx,007200,2015,0,2,0,2
Bronx,007200,2016,0,28,0,28
Bronx,007200,2017,0,19,0,19
Bronx,007200,2018,2,18,0,20
Bronx,007200,2019,0,7,0,7
Bronx,007200,2020,5,9,0,14
Bronx,007200,2021,0,9,0,9
Bronx,007200,2022,0,5,0,5
Bronx,007200,2023,0,8,0,8
Bronx,007300,2009,1,9,4,14
Bronx,007300,2010,0,17,0,17
Bronx,007300,2011,0,5,0,5
Bronx,007300,2012,1,6,0,7
Bronx,007300,2013,0,11,0,11
Bronx,007300,2014,0,12,0,12
Bronx,007300,2015,0,9,4,13
Bronx,007300,2016,3,14,2,19
Bronx,007300,2017,0,7,0,7
Bronx,007300,2018,1,3,0,4
Bronx,007300,2019,2,4,0,6
Bronx,007300,2020,5,8,4,17
Bronx,007300,2021,0,6,1,7
Bronx,007300,2022,0,2,0,2
Bronx,007400,2009,0,2,0,2
Bronx,007400,2010,0,2,0,2
Bronx,007400,2011,0,1,0,1
Bronx,007400,2012,0,8,0,8
Bronx,007400,2013,0,1,0,1
Bronx,007400,2014,0,4,0,4
Bronx,007400,2015,0,1,0,1
Bronx,007400,2016,0,2,0,2
Bronx,007400,2017,0,11,0,11
Bronx,007400,2018,0,8,0,8
Bronx,007400,2019,0,9,0,9
Bronx,007400,2020,0,3,1,4
Bronx,007400,2021,0,13,7,20
Bronx,007400,2022,0,3,1,4
Bronx,007400,2023,0,4,0,4
Bronx,007500,2009,0,11,1,12
Bronx,007500,2010,0,14,0,14
Bronx,007500,2011,0,11,0,11
Bronx,007500,2012,0,13,0,13
Bronx,007500,2013,0,3,1,4
Bronx,007500,2014,0,5,0,5
Bronx,007500,2015,0,4,0,4
Bronx,007500,2016,0,12,0,12
Bronx,007500,2017,0,13,6,19
Bronx,007500,2018,0,7,0,7
Bronx,007500,2019,0,6,2,8
Bronx,007500,2020,0,0,7,7
Bronx,007500,2021,0,11,0,11
Bronx,007500,2022,0,9,0,9
Bronx,007600,2009,1,3,2,6
Bronx,007600,2010,0,20,0,20
Bronx,007600,2011,0,9,0,9
Bronx,007600,2012,1,8,0,9
Bronx,007600,2013,1,6,1,8
Bronx,007600,2014,0,12,0,12
Bronx,007600,2015,3,9,2,14
Bronx,007600,2016,1,15,0,16
Bronx,007600,2017,0,12,0,12
Bronx,007600,2018,2,7,0,9
Bronx,007600,2019,0,14,1,15
Bronx,007600,2020,1,9,0,10
Bronx,007600,2021,0,5,0,5
Bronx,007600,2022,0,3,0,3
Bronx,007600,2023,0,8,0,8
Bronx,007700,2009,1,2,0,3
Bronx,007700,2010,0,3,0,3
Bronx,007700,2011,0,11,0,11
Bronx,007700,2012,0,7,0,7
Bronx,007700,2013,0,10,0,10
Bronx,007700,2014,6,6,0,12
Bronx,007700,2015,0,9,0,9
Bronx,007700,2016,0,20,0,20
Bronx,007700,2017,0,6,0,6
Bronx,007700,2018,0,1,0,1
Bronx,007700,2019,0,7,3,10
Bronx,007700,2020,0,4,0,4
Bronx,007700,2021,0,1,0,1
Bronx,007700,2022,0,4,0,4
Bronx,007800,2009,1,6,1,8
Bronx,007800,2010,2,3,1,6
Bronx,007800,2011,1,8,0,9
Bronx,007800,2012,1,9,3,13
Bronx,007800,2013,0,7,0,7
Bronx,007800,2014,0,7,0,7
Bronx,007800,2015,2,14,0,16
Bronx,007800,2016,0,23,0,23
Bronx,007800,2017,0,22,2,24
Bronx,007800,2018,1,28,6,35
Bronx,007800,2019,2,4,1,7
Bronx,007800,2020,3,7,0,10
Bronx,007800,2021,0,13,0,13
Bronx,007800,2022,0,6,0,6
Bronx,007800,2023,0,7,0,7
Bronx,007900,2009,1,21,0,22
Bronx,007900,2010,0,12,0,12
Bronx,007900,2011,1,12,2,15
Bronx,007900,2012,0,4,0,4
Bronx,007900,2013,1,30,0,31
Bronx,007900,2014,0,27,0,27
Bronx,007900,2015,0,10,0,10
Bronx,007900,2016,0,16,0,16
Bronx,007900,2017,0,16,2,18
Bronx,007900,2018,1,7,0,8
