old_geoid,new_geoid,area_weight
037800,037800,0.9999999999989291
032800,032800,0.2542281832296157
034000,034000,0.549706508127242
045800,045800,0.35945509102678075
043600,043600,0.529075616849832
042200,042200,0.25076763489166537
031900,031900,0.05162486470014484
037400,037400,0.24205487217594274
039800,039800,0.3330328596680851
042100,043503,0.0077622623775513745
042100,028100,0.0018873680272200868
042100,042100,0.608482590538394
007700,007700,0.10655045440927505
006000,006000,0.2636299688272344
006000,021800,0.007289403627488021
013300,013300,0.33294310256892995
019600,009600,0.03399248652879968
022000,024000,0.0020170127913256876
022000,033400,0.01824281349223432
022000,022000,0.3648793146478973
022000,036100,0.0013510159705246176
018100,018102,0.14265568532997494
018100,018101,0.11430607135143316
015300,015300,0.34338186957204103
022800,022800,0.33019950581736796
019500,019500,0.4477544224560796
007800,007800,0.4719156550383576
006100,006100,0.41759217723433634
021501,024501,0.008270499354945757
021501,021501,0.9917295006429137
023502,023502,0.6925929253753383
023502,038100,0.0029088822227103257
023502,023501,0.0019652494651611822
011502,011502,0.9834128034309478
011502,012300,0.013086323505906994
011502,011900,0.0034455718323060302
016100,016100,0.34396914859290395
016100,035900,0.006487217261911938
016000,016000,0.9231339066019457
037300,037504,0.020385416810823717
037300,037300,0.31649683322701805
009200,007800,0.016517302886646747
009200,007200,0.010519794140276555
009200,009200,0.47973702867832724
004800,004400,0.0027605930583080615
004800,004800,0.45508068690523557
032000,032600,0.02930404885549734
002500,002500,0.21142851773214696
038300,038301,0.012634753698182608
038300,038303,0.0100814060576067
038300,038304,0.009219023017708983
051600,051601,0.5624687451970989
051600,051602,0.39364154761226827
051600,050400,0.0038683288101383096
037900,037900,0.3333178285920962
037900,038100,0.0025341905805769433
004700,005100,0.15003451682376828
016600,015200,0.022025681538134043
016600,011000,0.09814191037434578
016600,016600,0.3788133429300213
016600,019400,0.0017637632745208757
012500,012500,0.16453917978729468
000500,001904,0.27127400164590154
024500,024300,0.0014396567146302043
024500,024501,0.12732622824824774
024500,024502,0.11523060706027399
020500,020502,0.19241701755564689
020500,020501,0.2626206134785157
020500,021301,0.002705102717098876
020500,021501,0.004113598873684249
016500,016500,0.2953566016793807
018300,018301,0.09970785227724066
018300,018302,0.1649461173191646
042500,042500,0.6340690677625033
012300,012300,0.16557476358157308
005400,005400,0.2129424831053075
005400,012300,0.0037257653477935754
006200,006400,0.0019776614579090387
006200,006200,0.09669839731606411
013100,013100,0.41019261617144304
013100,012500,0.0012338147262463994
013100,012701,0.0012340536191081614
012901,012901,0.5332106594858218
005302,024700,0.3559063261158442
005302,025700,0.3522410588554618
005302,005300,0.2918260174689335
006400,006400,0.12983071030969456
006400,006200,0.0010265945131977473
013000,013000,0.17559528685265408
015400,015200,0.004759179985996976
008800,009000,0.17988833698980783
036300,036501,0.0025136148741582787
036300,036300,0.3585713797890104
009900,009301,0.24220384551338767
043100,043101,0.2763868424681108
043100,043102,0.27083671927218006
042902,042901,0.08891729666760156
042902,042300,0.015645204722133602
042902,042902,0.8954374986102648
030000,030000,0.6795979598466843
014100,014100,0.20055312085591065
032300,032300,0.08254466426640746
030100,030100,0.16645063673529056
018700,006302,0.334366632140656
018700,018900,0.05851969165100996
021400,007600,0.09077145726028851
048400,045600,0.0015334198090153604
048400,046209,0.0019882054925887266
048400,048402,0.14332593467256913
048400,048401,0.3807700071336614
045101,045101,0.9999999999994348
014900,014900,0.22730428710447986
019700,019700,0.08120645733754843
038600,038600,0.6192920008389988
036400,036400,0.585315318442852
036700,036700,0.19605176203868616
036501,036501,0.42729564178317747
010500,009302,0.0030763538788718273
010500,011701,0.04829219858505934
010500,011702,0.5580387637880484
010500,000200,0.0012150821430065525
010500,011502,0.025923346442388116
014400,014400,0.49218659745593507
015700,015700,0.28053151202397797
036100,036100,0.35420921103593517
034500,034500,0.6029003951559608
034500,033700,0.0015703356235143705
017900,017901,0.015477478180597793
017900,017902,0.015642819379804697
015600,015200,0.2931007122241191
015600,014400,0.04130662834376343
030200,027600,0.04459395804102265
030200,046203,0.003464273226928703
030200,046205,0.028509852797042212
030200,030202,0.37984111773526413
030200,030201,0.2778770596441917
046202,046208,0.42060368631821826
046202,046207,0.002654590127753363
046202,046203,0.0032413036911150806
046202,046209,0.41566759038714407
044902,044902,0.9999999999989989
016700,017100,0.004857640800730009
016700,016700,0.40047064696499957
035900,035900,0.4054707562938116
