median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units,borough,year,geoid
659.0,15625.0,1926,15,523,0,Bronx,2009,016900
614.0,14862.0,4120,0,1811,189,Bronx,2009,017300
680.0,15280.0,6502,38,2748,220,Bronx,2009,017500
883.0,19829.0,7833,239,2964,477,Bronx,2009,017700
912.0,26371.0,9321,115,2774,76,Bronx,2009,017900
932.0,29988.0,8481,0,2832,213,Bronx,2009,018100
894.0,29540.0,8046,83,3319,131,Bronx,2009,018300
978.0,57024.0,4432,2955,1638,40,Bronx,2009,018400
802.0,29815.0,7970,35,2975,197,Bronx,2009,018900
638.0,19182.0,4953,32,1895,87,Bronx,2009,019300
1362.0,38815.0,1520,359,693,16,Bronx,2009,019400
898.0,30744.0,6354,328,2655,235,Bronx,2009,019500
965.0,44500.0,820,78,257,19,Bronx,2009,019600
919.0,24965.0,8438,209,2282,41,Bronx,2009,019700
874.0,35222.0,4530,268,1464,72,Bronx,2009,019800
856.0,30849.0,7267,60,2843,272,Bronx,2009,019900
848.0,27500.0,3866,65,1306,140,Bronx,2009,020100
959.0,40000.0,2083,326,785,43,Bronx,2009,020200
1067.0,35524.0,3067,590,1107,152,Bronx,2009,020400
614.0,22620.0,8944,190,3603,278,Bronx,2009,020500
1043.0,41550.0,2896,344,1000,94,Bronx,2009,020601
1033.0,25484.0,907,51,380,0,Bronx,2009,020602
1004.0,36895.0,1988,161,816,87,Bronx,2009,020800
979.0,42372.0,15896,706,7754,686,Bronx,2009,021000
802.0,19425.0,4514,46,1758,132,Bronx,2009,021100
986.0,49731.0,5965,292,2477,79,Bronx,2009,021200
774.0,19886.0,1552,20,506,38,Bronx,2009,021301
859.0,28951.0,4196,0,1600,49,Bronx,2009,021302
970.0,17864.0,1075,0,320,10,Bronx,2009,021400
887.0,25000.0,3313,87,1291,259,Bronx,2009,021501
835.0,23361.0,6204,22,2094,171,Bronx,2009,021502
1003.0,26754.0,4033,296,1670,210,Bronx,2009,021601
971.0,44036.0,5574,112,2446,118,Bronx,2009,021602
833.0,17054.0,5781,101,1759,194,Bronx,2009,021701
814.0,32563.0,343,0,139,0,Bronx,2009,021702
943.0,40505.0,6367,246,2367,208,Bronx,2009,021800
