old_tract_id,new_tract_id,area_weight
005_037800,005_037800,0.9999999999989291
005_032800,005_032800,0.9999932407531615
005_034000,005_034000,0.9999999999991015
005_045800,005_045800,0.9999999999988174
005_043600,005_043600,0.9995610423487432
005_042200,005_042200,0.9999999999995359
005_031900,005_031900,0.999782446966682
005_037400,005_037400,0.9999999999987766
005_039800,005_039800,0.9999946956333283
005_042100,005_043503,0.012547919974672092
005_042100,005_028100,0.003050984599129604
005_042100,005_042100,0.9836295761063253
005_007700,005_007700,0.9998875159091679
005_006000,005_006000,0.9730535093338729
005_006000,005_021800,0.026905058678387776
005_013300,005_013300,0.9999791030396794
005_019600,005_009600,0.9993097388080887
005_022000,005_024000,0.0052187446844064785
005_022000,005_033400,0.04720078442271213
005_022000,005_022000,0.9440753137301842
005_022000,005_036100,0.0034955690142597336
005_018100,005_018102,0.5551570167773379
005_018100,005_018101,0.44483202631718277
005_015300,005_015300,0.9999999999987056
005_022800,005_022800,0.9999999999978811
005_019500,005_019500,0.9999594519409759
005_007800,005_007800,0.9999999999990006
005_006100,005_006100,0.9988810107602496
005_021501,005_024501,0.008270499354945757
005_021501,005_021501,0.9917295006429137
005_023502,005_023502,0.9930116675210514
005_023502,005_038100,0.004170637441944015
005_023502,005_023501,0.0028176950370045594
005_011502,005_011502,0.9834128034309478
005_011502,005_012300,0.013086323505906994
005_011502,005_011900,0.0034455718323060302
005_016100,005_015700,0.002666426365770025
005_016100,005_016100,0.9788721610158289
005_016100,005_035900,0.018461412618323205
005_016000,005_016000,0.9999744761041548
005_037300,005_037504,0.06051199434971591
005_037300,005_037300,0.9394880056495849
005_009200,005_007800,0.03259302724592064
005_009200,005_007200,0.020758348950100175
005_009200,005_009200,0.9466486238035007
005_004800,005_004400,0.006029568314331671
005_004800,005_004800,0.9939676121296313
005_032000,005_032600,0.9999999999990795
005_002500,005_002500,0.9990049707335193
005_038300,005_039700,0.0013429521967989462
005_038300,005_023702,0.0013390944008250833
005_038300,005_038301,0.3945677437503454
005_038300,005_038303,0.3148298524056793
005_038300,005_038304,0.287898695817328
005_051600,005_051601,0.5859179908070745
005_051600,005_051602,0.41005241027987555
005_051600,005_050400,0.004029598912954941
005_037900,005_037900,0.9924544429192449
005_037900,005_038100,0.007545557078423037
005_004700,005_005100,0.999989625841108
005_016600,005_009000,0.0015641846875039378
005_016600,005_015200,0.04391704872169505
005_016600,005_011000,0.19568534358803377
005_016600,005_016600,0.7553166520219883
005_016600,005_019400,0.0035167709805737912
005_012500,005_012500,0.9995664718261692
005_000500,005_001904,0.9999999999997192
005_024500,005_024300,0.005875063974093698
005_024500,005_024501,0.5196028531917476
005_024500,005_024502,0.47024209408605866
005_024500,005_021501,0.0038836279514455722
005_020500,005_020502,0.416092867555786
005_020500,005_024501,0.0012567324392200633
005_020500,005_020501,0.5679048845559264
005_020500,005_021301,0.005849659042060062
005_020500,005_021501,0.008895466591620596
005_016500,005_016500,0.999999999999556
005_018300,005_018301,0.3767423477515869
005_018300,005_018302,0.623242664163927
005_042500,005_042500,0.9999999999990699
