geoid,borough,year,median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units
004200,Brooklyn,2009,1221.483512974413,62603.1885009629,12802,4992,4950,409
004300,Bronx,2009,975.8302903725662,50425.32803341642,14824,4787,7077,625
004400,Manhattan,2009,1134.1625967108218,65524.17848546957,24531,11708,10945,629
004401,Manhattan,2009,1355.464905271711,84469.9004622199,8535,5574,4032,164
004500,Brooklyn,2009,1441.072549250914,91259.84735165743,8477,5913,4080,130
004600,Bronx,2009,920.5191573696482,51977.44873802182,3430,1332,1538,94
004700,Bronx,2009,927.3135137309872,47203.23885175956,14420,6027,6109,369
004800,Bronx,2009,1317.8605250605563,68212.99222466932,11045,5246,5741,557
004900,Bronx,2009,1491.3370192307693,86810.13774038463,4075,2857,2232,303
005000,Manhattan,2009,1151.5853892045707,61740.00509281574,19304,8573,8913,881
005001,Bronx,2009,1152.5418890074704,62167.56750266809,1353,591,620,63
005002,Bronx,2009,1152.5418890074704,62167.56750266809,1575,688,721,73
005100,Brooklyn,2009,1302.0751127210917,64549.298663390815,8593,4718,4226,398
005200,Bronx,2009,1527.0892311242837,84256.92936924522,9913,4441,3612,501
005201,Brooklyn,2009,676.7122619388173,30568.87254791514,2147,1836,1334,17
005202,Brooklyn,2009,1159.7145869677988,63074.471450242185,3166,2662,1921,178
005300,Bronx,2009,1074.993109894317,49566.99983559926,4847,2029,2131,143
005301,Brooklyn,2009,1282.1796380702754,64743.059475523056,2796,1319,1352,102
005302,Brooklyn,2009,1256.5817841794214,64405.80036984525,1540,580,679,58
005303,Brooklyn,2009,1196.1067102854918,61679.277672632175,77,18,30,3
005400,Manhattan,2009,1211.0510308279656,60347.55059553143,19342,6751,8262,789
005500,Brooklyn,2009,1208.9568245125347,62964.35724233983,34,8,13,1
005501,Manhattan,2009,1639.0,120795.0,4081,3001,2714,631
005502,Manhattan,2009,2001.0,109885.0,1805,1352,1250,278
005600,Bronx,2009,1517.8920718176314,95861.60500302601,4957,1834,3034,569
005601,Brooklyn,2009,1156.2670766469757,57557.673099367006,3112,2604,1691,75
005602,Brooklyn,2009,1023.2256632117412,47491.497573947796,2223,1723,1272,88
005700,Bronx,2009,1298.1647071872228,65131.363021295474,2853,1493,1446,104
005800,Brooklyn,2009,1358.4520857133166,66735.34534140947,7949,4899,3936,345
005900,Brooklyn,2009,1288.2374287195437,78350.19751166408,4336,3238,2370,243
005901,Brooklyn,2009,1288.2374287195437,78350.19751166408,6182,4617,3380,347
005902,Bronx,2009,1147.1244978146885,59508.93634667452,5170,2295,2764,291
006000,Manhattan,2009,1291.3673844320192,69142.28129874096,11391,6928,5522,476
006100,Bronx,2009,1321.7516051364366,68621.17830390584,14941,7008,7443,665
006200,Brooklyn,2009,1208.9727384524906,49983.01143283454,8195,3822,3547,169
006201,Brooklyn,2009,1099.8329714368576,46424.45424505855,4419,2062,1863,84
006202,Queens,2009,1106.2829535809249,46415.902423795946,12440,5746,5256,237
006300,Brooklyn,2009,1476.8714722017046,87953.00585363634,15076,11126,8374,724
006301,Bronx,2009,1050.0776043700328,42547.10644685246,8693,1871,3708,170
006302,Brooklyn,2009,1294.9274645325577,69214.9491451437,4596,2718,2241,172
006400,Bronx,2009,1177.807762381125,66962.70255663886,19426,11269,9742,869
