geoid,year,total_permits,major_alterations,minor_alterations,new_buildings
000100,2009,118,15,103,0
000100,2010,55,0,54,1
000100,2011,141,16,119,6
000100,2012,176,11,126,39
000100,2013,139,7,126,6
000100,2014,156,11,141,4
000100,2015,138,21,112,5
000100,2016,150,11,137,2
000100,2017,217,22,195,0
000100,2018,103,10,93,0
000100,2019,93,9,84,0
000100,2020,69,2,67,0
000100,2021,10,0,10,0
000100,2023,5,0,5,0
000101,2009,12,2,10,0
000101,2010,42,1,28,13
000101,2011,65,2,60,3
000101,2012,36,0,35,1
000101,2013,99,8,82,9
000101,2014,47,3,44,0
000101,2015,35,0,35,0
000101,2016,43,4,39,0
000101,2017,46,0,35,11
000101,2018,77,0,47,30
000101,2019,43,2,28,13
000101,2020,51,0,51,0
000101,2021,10,0,10,0
000101,2022,3,0,3,0
000101,2023,1,0,1,0
000102,2009,53,0,38,15
000102,2010,27,0,18,9
000102,2011,77,0,77,0
000102,2012,17,0,17,0
000102,2013,51,0,49,2
000102,2014,38,0,28,10
000102,2015,20,0,20,0
000102,2016,4,0,4,0
000102,2017,10,0,10,0
000102,2018,6,0,6,0
000102,2019,6,0,6,0
000102,2020,4,0,4,0
000103,2009,9,0,9,0
000103,2010,4,0,4,0
000103,2011,13,2,11,0
000103,2012,16,0,16,0
000103,2013,12,0,12,0
000103,2014,13,0,13,0
000103,2015,7,0,7,0
000103,2016,10,0,10,0
000103,2017,13,0,13,0
000103,2020,3,0,3,0
000104,2009,48,3,45,0
000104,2010,43,4,39,0
000104,2011,60,3,48,9
000104,2012,46,4,42,0
000104,2013,61,4,57,0
000104,2014,57,0,57,0
000104,2015,68,3,65,0
000104,2016,111,13,98,0
000104,2017,121,6,115,0
000104,2018,100,10,90,0
000104,2019,62,2,60,0
000104,2020,33,2,28,3
000104,2021,2,0,2,0
000104,2023,3,0,3,0
000200,2009,59,6,53,0
000200,2010,55,2,51,2
000200,2011,39,5,33,1
000200,2012,43,2,41,0
000200,2013,44,0,44,0
000200,2014,67,4,62,1
000200,2015,120,12,108,0
000200,2016,137,8,129,0
000200,2017,162,15,132,15
000200,2018,142,7,120,15
000200,2019,74,4,70,0
000200,2020,52,7,42,3
000200,2021,40,0,40,0
000200,2022,43,0,43,0
000200,2023,39,0,39,0
000201,2009,17,0,17,0
000201,2010,21,0,21,0
000201,2011,13,0,13,0
000201,2012,19,0,19,0
000201,2013,31,0,31,0
000201,2014,47,0,47,0
000201,2015,31,2,29,0
000201,2016,27,5,22,0
000201,2017,19,2,17,0
000201,2018,23,0,23,0
000201,2019,7,1,6,0
000201,2020,5,1,4,0
000202,2009,39,1,38,0
000202,2010,38,0,38,0
000202,2011,22,1,21,0
000202,2012,36,0,36,0
000202,2013,43,0,43,0
000202,2014,59,0,59,0
000202,2015,75,0,75,0
000202,2016,51,3,48,0
000202,2017,45,0,45,0
000202,2018,35,0,35,0
000202,2019,19,2,17,0
000202,2020,45,0,45,0
000202,2021,2,0,2,0
000300,2009,113,4,103,6
000300,2010,60,0,60,0
000300,2011,71,0,71,0
000300,2012,66,0,64,2
000300,2013,58,0,58,0
000300,2014,109,3,85,21
000300,2015,73,1,59,13
000300,2016,47,0,47,0
000300,2017,73,2,71,0
000300,2018,152,6,146,0
000300,2019,81,0,81,0
000300,2020,21,0,19,2
000300,2021,6,0,4,2
000300,2022,2,0,2,0
000300,2023,1,0,1,0
000301,2009,97,9,88,0
000301,2010,88,2,86,0
000301,2011,110,5,105,0
000301,2012,81,1,80,0
000301,2013,126,18,108,0
000301,2014,131,14,117,0
000301,2015,177,17,160,0
000301,2016,108,3,105,0
000301,2017,131,9,122,0
000301,2018,129,16,113,0
000301,2019,61,3,58,0
000301,2020,27,1,26,0
000301,2021,10,1,9,0
000301,2023,1,0,1,0
000400,2009,90,6,50,34
000400,2010,45,2,38,5
000400,2011,23,0,23,0
000400,2012,32,2,30,0
000400,2013,28,0,23,5
000400,2014,114,2,112,0
000400,2015,61,0,54,7
000400,2016,64,3,55,6
000400,2017,53,5,48,0
000400,2018,105,5,93,7
000400,2019,53,6,37,10
000400,2020,57,5,52,0
000400,2021,53,0,53,0
000400,2022,36,0,36,0
000400,2023,31,0,31,0
000500,2009,13,0,13,0
000500,2010,1,0,1,0
000500,2011,11,8,3,0
000500,2012,45,0,45,0
000500,2015,4,0,4,0
000500,2016,19,4,15,0
000500,2017,14,4,10,0
000500,2018,36,7,29,0
000500,2019,10,5,5,0
000500,2020,4,0,4,0
000500,2022,1,0,1,0
000501,2009,65,2,63,0
000501,2010,91,3,88,0
000501,2011,98,10,88,0
000501,2012,93,3,90,0
000501,2013,93,7,86,0
000501,2014,54,1,53,0
000501,2015,65,6,59,0
000501,2016,80,10,70,0
000501,2017,53,8,45,0
000501,2018,58,2,56,0
000501,2019,31,3,28,0
000501,2020,58,12,46,0
000501,2021,3,0,3,0
000501,2023,2,2,0,0
000502,2009,51,5,46,0
000502,2010,65,3,62,0
000502,2011,62,7,55,0
000502,2012,59,0,59,0
000502,2013,50,0,50,0
000502,2014,112,26,86,0
000502,2015,112,8,104,0
000502,2016,157,10,140,7
000502,2017,119,0,119,0
000502,2018,74,1,73,0
000502,2019,88,5,83,0
000502,2020,45,1,44,0
000502,2021,9,0,9,0
000502,2022,1,0,1,0
000600,2009,186,6,172,8
000600,2010,110,2,108,0
000600,2011,106,11,88,7
000600,2012,137,6,127,4
000600,2013,106,3,99,4
000600,2014,170,1,146,23
000600,2015,158,5,148,5
000600,2016,216,5,206,5
000600,2017,124,1,114,9
000600,2018,222,2,218,2
000600,2019,133,9,119,5
000600,2020,65,0,62,3
000600,2021,28,0,28,0
000600,2022,16,0,16,0
000600,2023,11,0,11,0
000700,2009,679,15,661,3
000700,2010,720,16,701,3
000700,2011,803,15,785,3
000700,2012,860,13,847,0
000700,2013,917,18,899,0
000700,2014,860,39,792,29
000700,2015,826,16,786,24
000700,2016,945,32,898,15
000700,2017,1008,29,973,6
000700,2018,998,32,966,0
000700,2019,642,16,626,0
000700,2020,307,14,293,0
000700,2021,31,5,26,0
000700,2022,21,0,21,0
000700,2023,8,1,7,0
000701,2009,68,8,60,0
000701,2010,67,10,57,0
000701,2011,88,7,79,2
000701,2012,73,7,58,8
000701,2013,86,11,70,5
000701,2014,89,10,77,2
000701,2015,115,8,92,15
000701,2016,106,8,94,4
000701,2017,85,1,61,23
000701,2018,56,3,53,0
000701,2019,41,6,35,0
000701,2020,32,0,32,0
000701,2021,18,0,15,3
000701,2022,5,2,3,0
000701,2023,1,0,1,0
000702,2009,84,7,75,2
000702,2010,61,6,55,0
000702,2011,103,4,92,7
000702,2012,91,8,78,5
000702,2013,124,7,94,23
000702,2014,122,13,97,12
000702,2015,519,10,209,300
000702,2016,285,24,234,27
000702,2017,207,12,152,43
000702,2018,127,14,106,7
000702,2019,87,4,79,4
000702,2020,38,3,30,5
000702,2021,17,0,11,6
000702,2022,4,0,4,0
000702,2023,5,0,5,0
000800,2009,208,14,178,16
000800,2010,199,3,179,17
000800,2011,126,3,116,7
000800,2012,109,4,94,11
000800,2013,136,2,122,12
000800,2014,135,5,121,9
000800,2015,262,16,211,35
000800,2016,212,6,185,21
000800,2017,217,3,211,3
000800,2018,221,3,202,16
000800,2019,185,14,144,27
000800,2020,136,6,116,14
000800,2021,61,0,56,5
000800,2022,42,0,42,0
000800,2023,9,0,9,0
000900,2009,600,2,593,5
000900,2010,655,16,637,2
000900,2011,809,18,785,6
000900,2012,836,22,811,3
000900,2013,1258,28,1214,16
000900,2014,1201,26,1164,11
000900,2015,999,25,963,11
000900,2016,950,25,919,6
000900,2017,899,20,873,6
000900,2018,869,9,854,6
000900,2019,528,10,505,13
000900,2020,271,13,258,0
000900,2021,20,0,20,0
000900,2022,21,2,19,0
000900,2023,8,0,8,0
001000,2009,6,0,6,0
001000,2010,13,0,13,0
001000,2011,6,0,6,0
001000,2012,7,0,7,0
001000,2013,14,3,11,0
001000,2014,9,2,7,0
001000,2015,6,0,6,0
001000,2016,17,2,15,0
001000,2017,8,1,7,0
001000,2018,34,0,23,11
001000,2019,10,3,7,0
001000,2020,21,0,18,3
001000,2021,2,0,2,0
001000,2022,12,0,12,0
001000,2023,2,0,2,0
001001,2009,9,0,9,0
001001,2010,23,0,23,0
001001,2011,22,0,22,0
001001,2012,27,0,27,0
001001,2013,26,0,26,0
001001,2014,33,0,33,0
001001,2015,32,0,32,0
001001,2016,18,4,14,0
001001,2017,28,0,28,0
001001,2018,13,0,13,0
001001,2019,9,0,9,0
001001,2020,8,0,8,0
001002,2009,7,0,7,0
001002,2010,4,0,4,0
001002,2011,5,0,5,0
001002,2012,6,0,6,0
001002,2013,8,0,8,0
001002,2014,15,0,15,0
001002,2015,43,0,43,0
001002,2016,115,78,37,0
001002,2017,15,0,11,4
001002,2018,5,0,5,0
001002,2019,4,0,4,0
001100,2009,102,12,89,1
001100,2010,153,1,134,18
001100,2011,174,8,164,2
001100,2012,169,0,166,3
001100,2013,166,4,162,0
001100,2014,245,16,227,2
001100,2015,212,5,191,16
001100,2016,148,4,134,10
001100,2017,173,4,167,2
001100,2018,234,4,218,12
001100,2019,104,7,93,4
001100,2020,90,2,72,16
001100,2021,30,0,30,0
001100,2022,17,0,17,0
001100,2023,19,3,16,0
001200,2009,74,0,68,6
001200,2010,65,0,53,12
001200,2011,46,2,39,5
001200,2012,52,4,46,2
001200,2013,55,0,55,0
001200,2014,51,0,51,0
001200,2015,58,1,57,0
001200,2016,85,11,71,3
001200,2017,77,2,75,0
001200,2018,65,0,65,0
001200,2019,56,2,48,6
001200,2020,41,0,41,0
001200,2021,16,0,16,0
001200,2022,2,0,2,0
001200,2023,2,0,2,0
001300,2009,468,7,451,10
001300,2010,357,5,351,1
001300,2011,311,8,303,0
001300,2012,528,20,502,6
001300,2013,452,6,427,19
001300,2014,623,24,577,22
001300,2015,453,13,428,12
001300,2016,600,11,572,17
001300,2017,643,8,634,1
001300,2018,812,30,777,5
001300,2019,478,9,460,9
001300,2020,208,3,204,1
001300,2021,14,1,11,2
001300,2022,3,0,3,0
001300,2023,1,0,1,0
001400,2009,12,0,10,2
001400,2010,5,0,5,0
001400,2011,15,0,15,0
001400,2012,10,0,10,0
001400,2013,30,3,27,0
001400,2014,23,0,23,0
001400,2015,20,0,20,0
001400,2016,22,2,20,0
001400,2017,18,0,16,2
001400,2018,24,2,22,0
001400,2019,25,0,25,0
001400,2020,24,0,24,0
001400,2021,2,0,2,0
001400,2022,5,0,5,0
001400,2023,1,0,1,0
001401,2009,43,0,43,0
001401,2010,49,4,45,0
001401,2011,60,0,60,0
001401,2012,58,2,56,0
001401,2013,83,0,83,0
001401,2014,68,0,68,0
001401,2015,66,0,66,0
001401,2016,67,0,67,0
001401,2017,71,0,71,0
001401,2018,61,0,61,0
001401,2019,47,1,42,4
001401,2020,45,0,44,1
001401,2021,4,0,4,0
001402,2009,54,0,54,0
001402,2010,45,3,42,0
001402,2011,66,4,62,0
001402,2012,57,2,50,5
001402,2013,78,6,72,0
001402,2014,66,4,49,13
001402,2015,100,5,88,7
001402,2016,110,1,103,6
001402,2017,103,2,93,8
001402,2018,51,2,49,0
001402,2019,68,1,64,3
001402,2020,41,5,27,9
001402,2021,13,0,13,0
001402,2022,5,0,5,0
001402,2023,1,0,1,0
001501,2009,230,16,203,11
001501,2010,244,2,242,0
001501,2011,248,4,243,1
001501,2012,268,5,258,5
001501,2013,499,29,465,5
001501,2014,393,21,358,14
001501,2015,363,10,334,19
001501,2016,399,27,363,9
001501,2017,354,8,333,13
001501,2018,249,1,240,8
001501,2019,221,4,217,0
001501,2020,112,3,105,4
001501,2021,3,0,3,0
001501,2022,8,2,6,0
001501,2023,1,0,1,0
001502,2009,445,15,418,12
001502,2010,518,9,506,3
001502,2011,506,15,477,14
001502,2012,596,26,561,9
001502,2013,796,18,756,22
001502,2014,787,31,715,41
001502,2015,666,25,632,9
001502,2016,613,10,587,16
001502,2017,591,7,577,7
001502,2018,555,3,543,9
001502,2019,474,7,460,7
001502,2020,251,13,235,3
001502,2021,14,0,14,0
001502,2022,8,0,8,0
001502,2023,2,0,2,0
001600,2009,211,8,198,5
001600,2010,199,6,193,0
001600,2011,218,3,212,3
001600,2012,253,37,210,6
001600,2013,222,16,197,9
001600,2014,156,22,134,0
001600,2015,189,13,174,2
001600,2016,210,8,198,4
001600,2017,310,11,277,22
001600,2018,204,14,190,0
001600,2019,123,10,113,0
001600,2020,105,3,90,12
001600,2021,39,0,39,0
001600,2022,23,0,23,0
001600,2023,11,0,11,0
001700,2009,24,3,18,3
001700,2010,5,0,5,0
001700,2011,12,0,12,0
001700,2012,9,1,8,0
001700,2013,17,0,14,3
001700,2014,17,0,17,0
001700,2015,13,1,12,0
001700,2016,13,0,13,0
001700,2017,19,0,19,0
001700,2018,14,0,5,9
001700,2019,10,0,10,0
001700,2020,19,1,18,0
001700,2021,2,0,2,0
001700,2022,2,0,2,0
001700,2023,4,0,4,0
001800,2009,269,23,242,4
001800,2010,272,13,258,1
001800,2011,258,15,243,0
001800,2012,231,6,224,1
001800,2013,257,6,240,11
001800,2014,238,10,201,27
001800,2015,294,5,281,8
001800,2016,350,5,339,6
001800,2017,305,10,285,10
001800,2018,256,26,219,11
001800,2019,169,16,146,7
001800,2020,87,9,73,5
001800,2021,18,0,18,0
001800,2022,11,1,10,0
001800,2023,12,0,12,0
001801,2009,28,7,21,0
001801,2010,35,0,33,2
001801,2011,6,0,6,0
001801,2012,16,2,14,0
001801,2013,30,1,28,1
001801,2014,12,0,10,2
001801,2015,6,0,6,0
001801,2016,14,3,11,0
001801,2017,23,2,17,4
001801,2018,25,0,25,0
001801,2019,7,0,7,0
001801,2020,11,0,7,4
001801,2021,4,0,1,3
001801,2022,3,0,3,0
001801,2023,4,0,4,0
001802,2009,14,0,14,0
001802,2010,23,0,23,0
001802,2011,22,0,22,0
001802,2012,32,4,28,0
001802,2013,55,0,55,0
001802,2014,85,4,81,0
001802,2015,148,2,146,0
001802,2016,208,3,205,0
001802,2017,157,0,157,0
001802,2018,133,2,131,0
001802,2019,131,1,130,0
001802,2020,69,4,65,0
001802,2021,1,1,0,0
001802,2023,3,0,3,0
001803,2009,28,0,28,0
001803,2010,8,3,5,0
001803,2011,40,7,33,0
001803,2012,8,0,8,0
001803,2013,15,0,15,0
001803,2014,12,2,10,0
001803,2015,46,0,39,7
001803,2016,48,6,41,1
001803,2017,41,2,39,0
001803,2018,41,0,36,5
001803,2019,20,0,20,0
001803,2020,21,4,17,0
001803,2021,24,0,24,0
001803,2023,2,0,2,0
001804,2009,16,0,16,0
001804,2010,21,0,21,0
001804,2011,37,4,33,0
001804,2012,30,4,26,0
001804,2013,21,0,21,0
001804,2014,73,2,71,0
001804,2015,25,0,25,0
001804,2016,33,0,33,0
001804,2017,45,0,45,0
001804,2018,60,1,59,0
001804,2019,17,1,16,0
001804,2020,4,0,4,0
001901,2009,118,4,107,7
001901,2010,112,3,109,0
001901,2011,31,1,30,0
001901,2012,54,1,51,2
001901,2013,84,0,75,9
001901,2014,103,5,80,18
001901,2015,85,1,69,15
001901,2016,117,0,109,8
001901,2017,82,2,77,3
001901,2018,57,3,45,9
001901,2019,106,10,79,17
001901,2020,122,3,106,13
001901,2021,31,0,31,0
001901,2022,6,1,5,0
001901,2023,5,0,5,0
001902,2009,91,15,72,4
001902,2010,144,7,133,4
001902,2011,85,11,74,0
001902,2012,123,15,99,9
001902,2013,190,18,143,29
001902,2014,243,16,161,66
001902,2015,297,6,247,44
001902,2016,285,11,264,10
001902,2017,239,4,208,27
001902,2018,128,0,128,0
001902,2019,127,9,111,7
001902,2020,107,1,86,20
001902,2021,34,2,30,2
001902,2022,14,0,14,0
001902,2023,6,0,6,0
001903,2009,195,12,181,2
001903,2010,92,11,81,0
001903,2011,124,12,109,3
001903,2012,140,7,133,0
001903,2013,184,19,147,18
001903,2014,228,11,195,22
001903,2015,214,17,186,11
001903,2016,215,12,182,21
001903,2017,227,20,197,10
001903,2018,196,14,176,6
001903,2019,79,0,79,0
001903,2020,50,9,41,0
001903,2021,12,0,12,0
001903,2022,8,0,8,0
001903,2023,6,0,6,0
001904,2015,2,0,2,0
001904,2016,2,0,2,0
002000,2009,57,2,51,4
002000,2010,44,2,42,0
002000,2011,29,0,29,0
002000,2012,33,6,26,1
002000,2013,36,6,29,1
002000,2014,47,0,46,1
002000,2015,53,1,52,0
002000,2016,89,1,85,3
002000,2017,68,8,58,2
002000,2018,22,4,18,0
002000,2019,17,1,16,0
002000,2020,19,5,12,2
002000,2021,6,1,5,0
002000,2022,3,0,3,0
002000,2023,8,1,7,0
002001,2009,20,0,20,0
002001,2010,98,0,91,7
002001,2011,42,3,30,9
002001,2012,44,0,26,18
002001,2013,67,0,63,4
002001,2014,25,0,23,2
002001,2015,27,0,23,4
002001,2016,18,0,14,4
002001,2017,17,0,17,0
002001,2018,91,1,35,55
002001,2019,87,2,64,21
002001,2020,19,0,5,14
002001,2021,24,2,19,3
002001,2022,4,0,4,0
002001,2023,5,1,4,0
002002,2009,29,2,19,8
002002,2010,58,0,41,17
002002,2011,35,3,27,5
002002,2012,39,3,34,2
002002,2013,33,1,32,0
002002,2014,40,4,36,0
002002,2015,47,0,39,8
002002,2016,46,4,33,9
002002,2017,48,1,33,14
002002,2018,42,4,38,0
002002,2019,55,2,42,11
002002,2020,37,2,34,1
002002,2021,38,0,38,0
002002,2022,23,0,23,0
002002,2023,24,0,24,0
002100,2009,531,13,510,8
002100,2010,462,17,441,4
002100,2011,526,19,496,11
002100,2012,623,39,560,24
002100,2013,764,34,690,40
002100,2014,805,49,724,32
002100,2015,657,27,620,10
002100,2016,812,18,781,13
002100,2017,848,41,771,36
002100,2018,805,31,744,30
002100,2019,441,9,413,19
002100,2020,351,19,314,18
002100,2021,57,0,57,0
002100,2022,27,0,27,0
002100,2023,11,0,11,0
002200,2009,80,7,70,3
002200,2010,64,4,58,2
002200,2011,34,2,32,0
002200,2012,71,0,71,0
002200,2013,52,3,45,4
002200,2014,81,13,56,12
002200,2015,48,0,48,0
002200,2016,88,3,82,3
002200,2017,142,16,114,12
002200,2018,94,0,94,0
002200,2019,39,3,27,9
002200,2020,48,5,40,3
002200,2021,22,0,22,0
002200,2022,6,0,6,0
002200,2023,7,0,7,0
002201,2009,75,0,75,0
002201,2010,39,2,37,0
002201,2011,33,2,31,0
002201,2012,52,2,50,0
002201,2013,82,11,61,10
002201,2014,73,7,59,7
002201,2015,98,10,88,0
002201,2016,42,0,42,0
002201,2017,63,13,43,7
002201,2018,80,6,65,9
002201,2019,33,0,30,3
002201,2020,15,3,12,0
002201,2021,5,0,5,0
002201,2022,3,0,3,0
002202,2009,33,1,32,0
002202,2010,34,4,30,0
002202,2011,39,6,31,2
002202,2012,60,4,50,6
002202,2013,49,1,48,0
002202,2014,24,3,20,1
002202,2015,27,0,27,0
002202,2016,45,0,28,17
002202,2017,50,0,50,0
002202,2018,41,0,38,3
002202,2019,36,4,25,7
002202,2020,22,9,10,3
002202,2021,7,1,6,0
002202,2022,1,0,1,0
002300,2009,15,0,15,0
002300,2010,48,0,48,0
002300,2011,2,0,2,0
002300,2012,11,0,11,0
002300,2013,9,1,8,0
002300,2014,21,0,21,0
002300,2015,39,0,39,0
002300,2016,27,0,27,0
002300,2017,67,0,67,0
002300,2018,71,0,71,0
002300,2019,23,0,23,0
002300,2020,14,0,14,0
002300,2022,1,0,1,0
002400,2009,16,1,15,0
002400,2010,17,0,13,4
002400,2011,43,0,43,0
002400,2012,46,0,46,0
002400,2013,49,0,49,0
002400,2014,117,0,117,0
002400,2015,36,0,36,0
002400,2016,63,0,62,1
002400,2017,37,0,30,7
002400,2018,27,0,27,0
002400,2019,18,5,11,2
002400,2020,8,0,8,0
002400,2021,5,0,5,0
002400,2022,4,0,4,0
002400,2023,3,0,3,0
002500,2009,72,2,70,0
002500,2010,67,2,65,0
002500,2011,36,0,36,0
002500,2012,83,2,81,0
002500,2013,48,2,46,0
002500,2014,132,1,131,0
002500,2015,222,2,220,0
002500,2016,40,5,27,8
002500,2017,57,2,48,7
002500,2018,99,2,97,0
002500,2019,29,3,26,0
002500,2020,75,5,70,0
002500,2022,2,0,2,0
002600,2009,8,0,6,2
002600,2010,5,1,4,0
002600,2011,7,0,7,0
002600,2012,7,0,7,0
002600,2013,14,2,12,0
002600,2014,8,0,8,0
002600,2015,7,0,7,0
002600,2016,21,1,20,0
002600,2017,13,0,13,0
002600,2018,23,3,20,0
002600,2019,23,1,22,0
002600,2020,10,0,10,0
002600,2021,17,0,17,0
002600,2022,7,0,7,0
002600,2023,4,0,4,0
002601,2009,29,0,29,0
002601,2010,43,9,34,0
002601,2011,40,4,36,0
002601,2012,37,2,34,1
002601,2013,42,2,35,5
002601,2014,40,4,36,0
002601,2015,74,0,74,0
002601,2016,32,0,28,4
002601,2017,26,1,25,0
002601,2018,24,2,22,0
002601,2019,24,1,23,0
002601,2020,27,0,27,0
002601,2021,5,2,3,0
002601,2022,3,0,3,0
002601,2023,1,0,1,0
002602,2009,57,1,50,6
002602,2010,71,5,62,4
002602,2011,92,7,85,0
002602,2012,89,1,79,9
002602,2013,75,4,69,2
002602,2014,85,5,74,6
002602,2015,125,12,107,6
002602,2016,123,8,112,3
002602,2017,76,2,74,0
002602,2018,69,5,64,0
002602,2019,60,8,52,0
002602,2020,45,10,35,0
002602,2021,3,0,3,0
002602,2022,2,1,1,0
002700,2009,76,5,71,0
002700,2010,47,1,46,0
002700,2011,48,1,47,0
002700,2012,30,0,30,0
002700,2013,49,2,47,0
002700,2014,64,1,63,0
002700,2015,43,0,41,2
002700,2016,65,0,65,0
002700,2017,58,5,50,3
002700,2018,35,0,33,2
002700,2019,40,3,37,0
002700,2020,27,0,27,0
002700,2021,13,0,13,0
002700,2023,2,0,2,0
002701,2009,4,2,2,0
002701,2010,4,0,4,0
002701,2011,9,0,9,0
002701,2012,19,0,14,5
002701,2013,12,0,12,0
002701,2014,25,0,25,0
002701,2015,7,0,7,0
002701,2016,4,0,3,1
002701,2017,25,1,18,6
002701,2018,11,1,10,0
002701,2019,10,0,10,0
002701,2020,6,1,5,0
002701,2022,1,1,0,0
002702,2009,19,0,16,3
002702,2010,27,0,27,0
002702,2011,25,0,25,0
002702,2012,49,0,45,4
002702,2013,18,0,17,1
002702,2014,12,0,12,0
002702,2015,15,0,15,0
002702,2016,24,2,22,0
002702,2017,25,0,25,0
002702,2018,23,2,21,0
002702,2019,6,0,6,0
002702,2020,8,2,6,0
002702,2023,3,0,3,0
002800,2009,216,8,199,9
002800,2010,181,7,174,0
002800,2011,200,5,192,3
002800,2012,154,1,148,5
002800,2013,156,2,147,7
002800,2014,115,6,105,4
002800,2015,177,18,142,17
002800,2016,210,7,190,13
002800,2017,163,10,152,1
002800,2018,128,5,123,0
002800,2019,77,11,58,8
002800,2020,76,4,65,7
002800,2021,15,1,14,0
002800,2022,5,0,5,0
002800,2023,7,1,6,0
002900,2009,45,4,32,9
002900,2010,66,6,58,2
002900,2011,15,0,15,0
002900,2012,30,2,24,4
002900,2013,21,3,18,0
002900,2014,18,1,15,2
002900,2015,71,1,64,6
002900,2016,42,0,26,16
002900,2017,49,1,42,6
002900,2018,86,3,66,17
002900,2019,50,2,43,5
002900,2020,43,0,33,10
002900,2021,25,0,25,0
002900,2022,23,0,23,0
002900,2023,4,0,4,0
002901,2009,78,0,78,0
002901,2010,40,0,40,0
002901,2011,111,0,111,0
002901,2012,105,2,103,0
002901,2013,39,6,33,0
002901,2014,82,0,82,0
002901,2015,114,4,110,0
002901,2016,112,0,112,0
002901,2017,120,0,111,9
002901,2018,64,0,64,0
002901,2019,23,0,23,0
002901,2020,29,3,26,0
002901,2021,5,3,2,0
002901,2022,1,0,1,0
002901,2023,3,0,3,0
002902,2009,118,4,114,0
002902,2010,149,11,138,0
002902,2011,120,0,120,0
002902,2012,99,1,97,1
002902,2013,130,0,119,11
002902,2014,110,1,109,0
002902,2015,172,3,169,0
002902,2016,112,1,111,0
002902,2017,118,4,114,0
002902,2018,83,6,77,0
002902,2019,84,0,84,0
002902,2020,51,3,48,0
002902,2021,3,0,3,0
003000,2009,6,1,5,0
003000,2010,11,0,11,0
003000,2011,18,4,14,0
003000,2012,22,3,19,0
003000,2013,3,0,3,0
003000,2014,9,0,9,0
003000,2015,19,1,18,0
003000,2016,17,2,15,0
003000,2017,28,7,21,0
003000,2018,18,0,18,0
003000,2019,14,1,13,0
003000,2020,20,2,18,0
003000,2021,10,0,10,0
003000,2022,5,0,5,0
003000,2023,4,0,4,0
003001,2009,111,11,100,0
003001,2010,150,7,141,2
003001,2011,157,7,148,2
003001,2012,170,3,164,3
003001,2013,203,2,201,0
003001,2014,154,12,142,0
003001,2015,189,6,165,18
003001,2016,170,6,161,3
003001,2017,198,2,191,5
003001,2018,135,8,127,0
003001,2019,107,18,89,0
003001,2020,60,0,60,0
003001,2021,11,1,10,0
003001,2022,2,0,2,0
003002,2009,51,1,50,0
003002,2010,70,4,66,0
003002,2011,52,2,49,1
003002,2012,85,6,76,3
003002,2013,81,1,80,0
003002,2014,90,5,83,2
003002,2015,68,0,68,0
003002,2016,79,2,77,0
003002,2017,53,4,47,2
003002,2018,77,4,70,3
003002,2019,39,1,38,0
003002,2020,42,0,42,0
003002,2021,5,0,5,0
003002,2022,3,0,3,0
003100,2009,260,14,246,0
003100,2010,317,7,303,7
003100,2011,187,3,184,0
003100,2012,287,4,256,27
003100,2013,237,14,208,15
003100,2014,262,15,220,27
003100,2015,230,5,208,17
003100,2016,260,14,235,11
003100,2017,190,5,185,0
003100,2018,180,4,164,12
003100,2019,143,7,108,28
003100,2020,94,6,80,8
003100,2021,22,3,18,1
003100,2022,10,1,9,0
003100,2023,6,0,6,0
003101,2009,36,2,34,0
003101,2010,27,0,27,0
003101,2011,36,0,36,0
003101,2012,29,0,22,7
003101,2013,58,0,52,6
003101,2014,60,0,55,5
003101,2015,62,5,54,3
003101,2016,46,1,45,0
003101,2017,55,2,50,3
003101,2018,56,2,38,16
003101,2019,43,5,38,0
003101,2020,59,5,54,0
003101,2021,5,0,5,0
003101,2022,6,0,6,0
003200,2009,216,10,206,0
003200,2010,165,2,163,0
003200,2011,217,10,207,0
003200,2012,253,12,233,8
003200,2013,211,2,204,5
003200,2014,202,5,191,6
003200,2015,265,8,257,0
003200,2016,205,1,204,0
003200,2017,211,2,208,1
003200,2018,126,1,125,0
003200,2019,104,2,102,0
003200,2020,74,2,72,0
003200,2021,21,3,18,0
003200,2022,3,0,3,0
003200,2023,6,0,6,0
003300,2009,608,38,567,3
003300,2010,860,33,808,19
003300,2011,825,30,791,4
003300,2012,851,72,771,8
003300,2013,933,52,876,5
003300,2014,810,38,753,19
003300,2015,762,29,719,14
003300,2016,818,58,740,20
003300,2017,818,33,780,5
003300,2018,737,42,692,3
003300,2019,493,24,462,7
003300,2020,249,7,233,9
003300,2021,44,7,35,2
003300,2022,25,4,21,0
003300,2023,14,3,11,0
003301,2009,81,3,73,5
003301,2010,75,2,73,0
003301,2011,68,1,67,0
003301,2012,103,2,78,23
003301,2013,126,0,95,31
003301,2014,145,0,124,21
003301,2015,104,4,76,24
003301,2016,84,2,80,2
003301,2017,130,1,97,32
003301,2018,137,2,105,30
003301,2019,64,1,63,0
003301,2020,36,2,34,0
003301,2021,16,0,16,0
003301,2022,3,1,2,0
003301,2023,1,1,0,0
003302,2009,28,3,25,0
003302,2010,44,8,36,0
003302,2011,51,1,50,0
003302,2012,84,6,67,11
003302,2013,51,4,43,4
003302,2014,89,5,77,7
003302,2015,61,5,49,7
003302,2016,80,1,66,13
003302,2017,84,6,78,0
003302,2018,99,3,86,10
003302,2019,44,3,39,2
003302,2020,48,8,40,0
003302,2021,1,0,1,0
