geoid,borough,year,major_alterations,new_buildings,total_permits,minor_alterations
1,BRONX,2009,0,0,6,6
1,BRONX,2011,0,1,20,19
1,BRONX,2012,0,0,10,10
1,BRONX,2013,0,0,5,5
1,BRONX,2014,0,0,13,13
1,BRONX,2015,0,0,2,2
1,BRONX,2016,0,0,2,2
1,BRONX,2017,0,0,2,2
1,BRONX,2019,0,0,13,13
1,BRONX,2021,0,0,3,3
1,BROOKLYN,2009,2,0,29,27
1,BROOKLYN,2010,0,1,16,15
1,BROOKLYN,2011,1,1,32,30
1,BROOKLYN,2012,3,36,68,29
1,BROOKLYN,2013,1,2,56,53
1,BROOKLYN,2014,5,2,66,59
1,BROOKLYN,2015,2,2,43,39
1,BROOKLYN,2016,5,1,60,54
1,BROOKLYN,2017,15,0,85,70
1,BROOKLYN,2018,4,0,37,33
1,BROOKLYN,2019,2,0,24,22
1,BROOKLYN,2020,1,0,43,42
1,BROOKLYN,2021,0,0,5,5
1,BROOKLYN,2023,0,0,3,3
1,QUEENS,2009,2,4,45,39
1,QUEENS,2010,1,22,60,37
1,QUEENS,2011,2,4,78,72
1,QUEENS,2012,1,1,49,47
1,QUEENS,2013,7,2,94,85
1,QUEENS,2014,0,5,75,70
1,QUEENS,2015,1,0,55,54
1,QUEENS,2016,15,0,72,57
1,QUEENS,2017,6,9,99,84
1,QUEENS,2018,10,17,90,63
1,QUEENS,2019,1,8,48,39
1,QUEENS,2020,2,1,39,36
1,QUEENS,2021,0,0,6,6
1,QUEENS,2022,0,0,3,3
1,QUEENS,2023,0,0,2,2
10,QUEENS,2009,0,0,4,4
10,QUEENS,2010,0,0,3,3
10,QUEENS,2011,0,0,3,3
10,QUEENS,2012,0,0,6,6
10,QUEENS,2013,3,0,10,7
10,QUEENS,2014,2,0,4,2
10,QUEENS,2015,0,0,5,5
10,QUEENS,2016,2,0,13,11
10,QUEENS,2017,1,0,3,2
10,QUEENS,2018,0,3,11,8
10,QUEENS,2019,3,0,4,1
10,QUEENS,2020,0,2,11,9
10,QUEENS,2022,0,0,7,7
100,BROOKLYN,2009,3,0,9,6
100,BROOKLYN,2010,1,0,14,13
100,BROOKLYN,2011,4,0,24,20
100,BROOKLYN,2012,7,0,22,15
100,BROOKLYN,2013,3,0,24,21
100,BROOKLYN,2014,10,0,34,24
100,BROOKLYN,2015,5,0,30,25
100,BROOKLYN,2016,2,0,21,19
100,BROOKLYN,2017,9,0,30,21
100,BROOKLYN,2018,5,0,25,20
100,BROOKLYN,2019,8,0,19,11
100,BROOKLYN,2020,2,0,21,19
100,BROOKLYN,2022,0,0,1,1
100,MANHATTAN,2009,6,0,218,212
100,MANHATTAN,2010,0,0,276,276
100,MANHATTAN,2011,11,0,258,247
100,MANHATTAN,2012,6,0,226,220
100,MANHATTAN,2013,9,4,267,254
100,MANHATTAN,2014,2,8,219,209
100,MANHATTAN,2015,4,0,276,272
100,MANHATTAN,2016,10,0,244,234
100,MANHATTAN,2017,10,0,207,197
100,MANHATTAN,2018,16,0,271,255
100,MANHATTAN,2019,0,5,170,165
100,MANHATTAN,2020,1,0,81,80
100,MANHATTAN,2021,2,0,12,10
100,MANHATTAN,2022,1,0,4,3
100,QUEENS,2009,2,0,3,1
100,QUEENS,2010,1,0,14,13
100,QUEENS,2011,3,0,8,5
100,QUEENS,2012,2,0,5,3
100,QUEENS,2013,0,0,4,4
100,QUEENS,2014,1,0,9,8
100,QUEENS,2015,1,0,10,9
100,QUEENS,2016,0,0,18,18
100,QUEENS,2017,2,1,31,28
100,QUEENS,2018,0,4,18,14
100,QUEENS,2019,0,0,8,8
100,QUEENS,2020,0,0,7,7
100,QUEENS,2021,0,0,6,6
100,QUEENS,2022,0,0,8,8
100,QUEENS,2023,0,0,8,8
1001,MANHATTAN,2009,0,0,8,8
1001,MANHATTAN,2010,0,0,18,18
1001,MANHATTAN,2011,0,0,16,16
1001,MANHATTAN,2012,0,0,12,12
1001,MANHATTAN,2013,0,0,12,12
1001,MANHATTAN,2014,0,0,14,14
1001,MANHATTAN,2015,0,0,21,21
1001,MANHATTAN,2016,0,0,5,5
1001,MANHATTAN,2017,0,0,21,21
1001,MANHATTAN,2018,0,0,7,7
1001,MANHATTAN,2019,0,0,1,1
1001,MANHATTAN,2020,0,0,5,5
1002,MANHATTAN,2009,0,0,1,1
1002,MANHATTAN,2010,0,0,4,4
1002,MANHATTAN,2011,0,0,4,4
1002,MANHATTAN,2012,0,0,3,3
1002,MANHATTAN,2013,0,0,2,2
1002,MANHATTAN,2014,0,0,3,3
1002,MANHATTAN,2015,0,0,18,18
1002,MANHATTAN,2016,91,0,104,13
1002,MANHATTAN,2017,0,4,11,7
1002,MANHATTAN,2018,0,0,5,5
1002,MANHATTAN,2019,0,0,3,3
1004,BROOKLYN,2010,0,0,3,3
1004,BROOKLYN,2011,0,0,2,2
1004,BROOKLYN,2012,0,0,1,1
1004,BROOKLYN,2014,0,0,3,3
1004,BROOKLYN,2016,0,0,2,2
1004,BROOKLYN,2017,1,0,3,2
1004,BROOKLYN,2019,0,0,1,1
1004,BROOKLYN,2020,3,0,7,4
1004,BROOKLYN,2021,0,0,6,6
1004,BROOKLYN,2022,0,0,6,6
1004,BROOKLYN,2023,0,0,11,11
1006,BROOKLYN,2013,0,0,2,2
1006,BROOKLYN,2015,0,0,3,3
1006,BROOKLYN,2016,0,0,7,7
1006,BROOKLYN,2017,0,0,4,4
1006,BROOKLYN,2018,0,0,5,5
1006,BROOKLYN,2019,0,0,2,2
1006,BROOKLYN,2020,0,0,6,6
1006,BROOKLYN,2021,0,0,9,9
1006,BROOKLYN,2022,0,0,6,6
1006,BROOKLYN,2023,0,0,9,9
1008,BROOKLYN,2009,0,0,4,4
1008,BROOKLYN,2010,0,0,1,1
1008,BROOKLYN,2011,1,0,2,1
1008,BROOKLYN,2012,0,0,2,2
1008,BROOKLYN,2014,0,0,1,1
1008,BROOKLYN,2015,0,0,2,2
1008,BROOKLYN,2016,2,0,8,6
1008,BROOKLYN,2017,0,0,1,1
1008,BROOKLYN,2018,0,0,1,1
1008,BROOKLYN,2019,0,0,9,9
1008,BROOKLYN,2020,0,0,5,5
1008,BROOKLYN,2021,0,0,5,5
1008,BROOKLYN,2022,0,0,3,3
1008,BROOKLYN,2023,0,0,11,11
100801,QUEENS,2009,0,0,4,4
100801,QUEENS,2010,0,0,6,6
100801,QUEENS,2011,1,0,8,7
100801,QUEENS,2012,2,0,4,2
100801,QUEENS,2013,0,0,2,2
100801,QUEENS,2014,0,0,5,5
100801,QUEENS,2015,1,0,10,9
100801,QUEENS,2016,0,2,9,7
100801,QUEENS,2017,0,0,5,5
100801,QUEENS,2018,0,0,10,10
100801,QUEENS,2019,1,0,4,3
100801,QUEENS,2020,0,0,6,6
100801,QUEENS,2021,0,0,9,9
100801,QUEENS,2022,0,0,10,10
100801,QUEENS,2023,0,0,6,6
100802,QUEENS,2009,4,1,16,11
100802,QUEENS,2010,1,0,19,18
100802,QUEENS,2011,0,1,12,11
100802,QUEENS,2012,0,0,8,8
100802,QUEENS,2013,0,0,8,8
100802,QUEENS,2014,0,3,28,25
100802,QUEENS,2015,2,8,35,25
100802,QUEENS,2016,0,2,27,25
100802,QUEENS,2017,0,7,28,21
100802,QUEENS,2018,0,1,31,30
100802,QUEENS,2019,5,26,43,12
100802,QUEENS,2020,2,3,45,40
100802,QUEENS,2021,1,0,27,26
100802,QUEENS,2022,0,0,29,29
100802,QUEENS,2023,0,0,13,13
101,BROOKLYN,2009,2,0,24,22
101,BROOKLYN,2010,0,0,6,6
101,BROOKLYN,2011,0,0,16,16
101,BROOKLYN,2012,5,0,37,32
101,BROOKLYN,2013,1,0,32,31
101,BROOKLYN,2014,3,3,18,12
101,BROOKLYN,2015,0,6,45,39
101,BROOKLYN,2016,0,0,46,46
101,BROOKLYN,2017,2,0,20,18
101,BROOKLYN,2018,5,7,30,18
101,BROOKLYN,2019,3,13,36,20
101,BROOKLYN,2020,7,0,13,6
101,BROOKLYN,2021,0,0,9,9
101,BROOKLYN,2022,0,0,11,11
101,MANHATTAN,2009,9,0,127,118
101,MANHATTAN,2010,6,0,207,201
101,MANHATTAN,2011,3,4,247,240
101,MANHATTAN,2012,2,0,191,189
101,MANHATTAN,2013,19,6,272,247
101,MANHATTAN,2014,4,0,204,200
101,MANHATTAN,2015,9,0,202,193
101,MANHATTAN,2016,7,0,242,235
101,MANHATTAN,2017,4,0,161,157
101,MANHATTAN,2018,4,0,199,195
101,MANHATTAN,2019,8,0,135,127
101,MANHATTAN,2020,3,0,54,51
101,MANHATTAN,2021,0,0,7,7
101,MANHATTAN,2022,0,0,2,2
101,MANHATTAN,2023,0,0,1,1
101,QUEENS,2009,2,0,9,7
101,QUEENS,2010,1,0,3,2
101,QUEENS,2011,3,0,11,8
101,QUEENS,2012,0,0,2,2
101,QUEENS,2013,0,0,9,9
101,QUEENS,2014,1,0,1,0
101,QUEENS,2015,5,0,7,2
101,QUEENS,2016,2,0,14,12
101,QUEENS,2017,0,0,5,5
101,QUEENS,2018,1,0,5,4
101,QUEENS,2019,0,0,6,6
101,QUEENS,2020,2,0,3,1
101,QUEENS,2021,0,0,5,5
101,QUEENS,2022,0,0,3,3
1010,BROOKLYN,2009,0,0,8,8
1010,BROOKLYN,2010,0,0,4,4
1010,BROOKLYN,2011,0,0,2,2
1010,BROOKLYN,2012,2,0,6,4
1010,BROOKLYN,2013,1,0,6,5
1010,BROOKLYN,2014,0,0,5,5
1010,BROOKLYN,2015,0,0,5,5
1010,BROOKLYN,2016,0,0,9,9
1010,BROOKLYN,2017,0,0,4,4
1010,BROOKLYN,2018,0,0,3,3
1010,BROOKLYN,2019,0,0,3,3
1010,BROOKLYN,2020,0,0,2,2
1010,BROOKLYN,2021,0,0,5,5
1010,BROOKLYN,2022,0,0,5,5
1010,BROOKLYN,2023,0,0,8,8
101001,QUEENS,2009,0,2,36,34
101001,QUEENS,2010,3,0,23,20
101001,QUEENS,2011,0,0,9,9
101001,QUEENS,2012,0,0,16,16
101001,QUEENS,2013,8,11,37,18
101001,QUEENS,2014,7,1,27,19
101001,QUEENS,2015,3,0,31,28
101001,QUEENS,2016,3,1,23,19
101001,QUEENS,2017,3,8,33,22
101001,QUEENS,2018,3,6,30,21
101001,QUEENS,2019,3,11,28,14
101001,QUEENS,2020,2,7,29,20
101001,QUEENS,2021,0,0,15,15
101001,QUEENS,2022,0,0,7,7
101001,QUEENS,2023,0,0,4,4
101002,QUEENS,2009,2,1,7,4
101002,QUEENS,2010,3,0,6,3
101002,QUEENS,2011,0,1,11,10
101002,QUEENS,2012,4,12,20,4
101002,QUEENS,2013,0,0,1,1
101002,QUEENS,2014,2,4,8,2
101002,QUEENS,2015,7,8,33,18
101002,QUEENS,2016,3,5,25,17
101002,QUEENS,2017,1,3,13,9
101002,QUEENS,2018,3,1,20,16
101002,QUEENS,2019,0,0,8,8
101002,QUEENS,2020,9,0,19,10
101002,QUEENS,2021,0,0,11,11
101002,QUEENS,2022,1,0,9,8
101002,QUEENS,2023,0,0,5,5
1012,BROOKLYN,2009,2,0,3,1
1012,BROOKLYN,2010,0,0,8,8
1012,BROOKLYN,2011,0,0,2,2
1012,BROOKLYN,2012,0,0,2,2
1012,BROOKLYN,2013,4,0,6,2
1012,BROOKLYN,2015,1,0,3,2
1012,BROOKLYN,2016,0,0,8,8
1012,BROOKLYN,2017,0,0,3,3
1012,BROOKLYN,2018,1,0,11,10
1012,BROOKLYN,2019,0,0,3,3
1012,BROOKLYN,2020,0,0,9,9
1012,BROOKLYN,2021,0,0,20,20
1012,BROOKLYN,2022,0,0,10,10
1012,BROOKLYN,2023,0,0,8,8
1014,BROOKLYN,2014,0,0,1,1
1014,BROOKLYN,2016,2,0,8,6
1014,BROOKLYN,2017,0,0,5,5
1014,BROOKLYN,2018,1,0,7,6
1014,BROOKLYN,2019,0,0,1,1
1014,BROOKLYN,2020,0,0,5,5
1014,BROOKLYN,2021,0,0,8,8
1014,BROOKLYN,2022,0,0,7,7
1014,BROOKLYN,2023,0,0,3,3
1016,BROOKLYN,2011,0,0,1,1
1016,BROOKLYN,2013,0,0,3,3
1016,BROOKLYN,2015,0,0,4,4
1016,BROOKLYN,2016,1,0,3,2
1016,BROOKLYN,2017,0,0,2,2
1016,BROOKLYN,2018,0,0,1,1
1016,BROOKLYN,2019,0,0,5,5
1016,BROOKLYN,2020,0,0,7,7
1016,BROOKLYN,2021,0,0,4,4
1016,BROOKLYN,2022,0,0,4,4
1016,BROOKLYN,2023,0,0,3,3
1017,QUEENS,2009,3,2,15,10
1017,QUEENS,2010,4,0,17,13
1017,QUEENS,2011,2,0,9,7
1017,QUEENS,2012,4,0,12,8
1017,QUEENS,2013,0,0,6,6
1017,QUEENS,2014,5,3,25,17
1017,QUEENS,2015,4,2,22,16
1017,QUEENS,2016,3,0,27,24
1017,QUEENS,2017,6,1,13,6
1017,QUEENS,2018,5,0,12,7
1017,QUEENS,2019,1,0,7,6
1017,QUEENS,2020,5,0,13,8
1017,QUEENS,2021,2,0,13,11
1017,QUEENS,2022,0,0,8,8
1017,QUEENS,2023,0,0,4,4
1018,BROOKLYN,2011,0,0,1,1
1018,BROOKLYN,2012,0,0,4,4
1018,BROOKLYN,2013,0,0,4,4
1018,BROOKLYN,2015,1,0,9,8
1018,BROOKLYN,2016,5,0,24,19
1018,BROOKLYN,2017,0,0,9,9
1018,BROOKLYN,2018,1,0,5,4
1018,BROOKLYN,2019,0,0,1,1
1018,BROOKLYN,2021,0,0,11,11
1018,BROOKLYN,2022,0,0,4,4
1018,BROOKLYN,2023,0,0,7,7
102,BROOKLYN,2009,2,0,11,9
102,BROOKLYN,2010,5,1,12,6
102,BROOKLYN,2011,9,0,25,16
102,BROOKLYN,2012,6,0,21,15
102,BROOKLYN,2013,2,0,16,14
102,BROOKLYN,2014,5,0,23,18
102,BROOKLYN,2015,2,0,15,13
102,BROOKLYN,2016,4,0,19,15
102,BROOKLYN,2017,5,0,19,14
102,BROOKLYN,2018,1,0,10,9
102,BROOKLYN,2019,2,0,9,7
102,BROOKLYN,2020,1,0,12,11
102,BROOKLYN,2022,0,0,1,1
102,BROOKLYN,2023,0,0,2,2
102,MANHATTAN,2009,12,0,327,315
102,MANHATTAN,2010,5,0,380,375
102,MANHATTAN,2011,4,0,372,368
102,MANHATTAN,2012,17,8,351,326
102,MANHATTAN,2013,16,0,413,397
102,MANHATTAN,2014,12,0,434,422
102,MANHATTAN,2015,21,0,451,430
102,MANHATTAN,2016,4,0,363,359
102,MANHATTAN,2017,11,0,408,397
102,MANHATTAN,2018,15,0,364,349
102,MANHATTAN,2019,6,0,184,178
102,MANHATTAN,2020,6,0,79,73
102,MANHATTAN,2021,2,0,6,4
102,MANHATTAN,2022,1,0,1,0
102,MANHATTAN,2023,1,0,1,0
102,QUEENS,2009,2,0,13,11
102,QUEENS,2010,0,1,6,5
102,QUEENS,2011,0,0,1,1
102,QUEENS,2012,0,0,1,1
102,QUEENS,2013,0,0,3,3
102,QUEENS,2014,1,3,14,10
102,QUEENS,2015,0,0,11,11
102,QUEENS,2016,0,0,9,9
102,QUEENS,2017,0,0,16,16
102,QUEENS,2018,2,0,9,7
102,QUEENS,2019,2,0,6,4
102,QUEENS,2020,0,0,4,4
102,QUEENS,2021,0,0,3,3
102,QUEENS,2022,0,0,6,6
102,QUEENS,2023,0,0,2,2
1020,BROOKLYN,2009,0,0,2,2
1020,BROOKLYN,2010,1,0,1,0
1020,BROOKLYN,2012,0,0,1,1
1020,BROOKLYN,2013,2,0,3,1
1020,BROOKLYN,2015,0,0,3,3
1020,BROOKLYN,2016,0,0,13,13
1020,BROOKLYN,2017,0,0,14,14
1020,BROOKLYN,2018,0,0,6,6
1020,BROOKLYN,2019,0,0,5,5
1020,BROOKLYN,2020,2,0,7,5
1020,BROOKLYN,2021,0,0,17,17
1020,BROOKLYN,2022,0,0,4,4
1020,BROOKLYN,2023,0,0,8,8
1022,BROOKLYN,2009,2,0,10,8
1022,BROOKLYN,2010,0,0,2,2
1022,BROOKLYN,2011,0,0,3,3
1022,BROOKLYN,2012,2,0,2,0
1022,BROOKLYN,2014,0,0,8,8
1022,BROOKLYN,2015,0,2,4,2
1022,BROOKLYN,2016,1,0,8,7
1022,BROOKLYN,2018,0,0,9,9
1022,BROOKLYN,2019,0,0,4,4
1022,BROOKLYN,2020,2,0,7,5
1022,BROOKLYN,2021,0,0,7,7
1022,BROOKLYN,2022,0,0,13,13
1022,BROOKLYN,2023,0,0,4,4
1024,BROOKLYN,2010,3,0,3,0
1024,BROOKLYN,2014,0,0,2,2
1024,BROOKLYN,2015,0,0,3,3
1024,BROOKLYN,2016,0,0,7,7
1024,BROOKLYN,2017,1,0,11,10
1024,BROOKLYN,2018,0,0,2,2
1024,BROOKLYN,2019,1,0,3,2
1024,BROOKLYN,2020,0,0,2,2
1024,BROOKLYN,2021,0,0,17,17
1024,BROOKLYN,2022,0,0,2,2
1024,BROOKLYN,2023,0,0,4,4
1026,BROOKLYN,2009,2,0,6,4
1026,BROOKLYN,2010,1,0,1,0
1026,BROOKLYN,2013,0,0,1,1
1026,BROOKLYN,2014,0,0,1,1
1026,BROOKLYN,2015,0,0,2,2
1026,BROOKLYN,2016,1,0,5,4
1026,BROOKLYN,2017,0,0,2,2
1026,BROOKLYN,2018,0,0,2,2
1026,BROOKLYN,2019,0,0,6,6
1026,BROOKLYN,2020,0,0,9,9
1026,BROOKLYN,2021,0,0,23,23
1026,BROOKLYN,2022,0,0,17,17
1026,BROOKLYN,2023,0,0,6,6
1028,BROOKLYN,2009,0,0,1,1
1028,BROOKLYN,2010,1,0,3,2
1028,BROOKLYN,2012,0,1,7,6
1028,BROOKLYN,2013,0,0,2,2
1028,BROOKLYN,2014,0,0,2,2
1028,BROOKLYN,2015,0,1,3,2
1028,BROOKLYN,2016,0,1,5,4
1028,BROOKLYN,2017,0,0,9,9
1028,BROOKLYN,2018,0,0,1,1
1028,BROOKLYN,2019,0,0,4,4
1028,BROOKLYN,2020,0,0,2,2
1028,BROOKLYN,2021,0,0,5,5
1028,BROOKLYN,2023,0,0,2,2
1029,QUEENS,2009,0,0,12,12
1029,QUEENS,2010,1,0,8,7
1029,QUEENS,2011,0,0,2,2
1029,QUEENS,2012,2,0,10,8
1029,QUEENS,2013,1,0,10,9
1029,QUEENS,2014,0,2,9,7
1029,QUEENS,2015,0,0,25,25
1029,QUEENS,2016,0,18,26,8
1029,QUEENS,2017,0,2,20,18
1029,QUEENS,2018,0,2,2,0
1029,QUEENS,2019,1,0,5,4
1029,QUEENS,2020,2,0,8,6
1029,QUEENS,2021,0,0,7,7
1029,QUEENS,2023,0,0,2,2
103,MANHATTAN,2009,3,1,32,28
103,MANHATTAN,2010,5,0,42,37
103,MANHATTAN,2011,0,0,65,65
103,MANHATTAN,2012,0,0,40,40
103,MANHATTAN,2013,1,0,62,61
103,MANHATTAN,2014,5,17,100,78
103,MANHATTAN,2015,1,5,90,84
103,MANHATTAN,2016,5,0,96,91
103,MANHATTAN,2017,11,15,123,97
103,MANHATTAN,2018,3,0,91,88
103,MANHATTAN,2019,5,1,54,48
103,MANHATTAN,2020,3,0,57,54
103,MANHATTAN,2021,0,0,17,17
103,MANHATTAN,2023,0,0,2,2
103,QUEENS,2009,2,0,5,3
103,QUEENS,2010,0,0,2,2
103,QUEENS,2011,0,0,7,7
103,QUEENS,2012,0,0,8,8
103,QUEENS,2013,2,0,6,4
103,QUEENS,2014,1,0,5,4
103,QUEENS,2015,1,0,4,3
103,QUEENS,2016,3,0,21,18
103,QUEENS,2017,2,0,14,12
103,QUEENS,2018,1,8,16,7
103,QUEENS,2019,1,2,12,9
103,QUEENS,2020,0,3,9,6
103,QUEENS,2021,0,0,7,7
103,QUEENS,2022,0,0,8,8
103,QUEENS,2023,0,0,2,2
103201,QUEENS,2009,0,2,11,9
103201,QUEENS,2010,0,0,4,4
103201,QUEENS,2011,1,0,13,12
103201,QUEENS,2012,0,0,24,24
103201,QUEENS,2013,0,0,12,12
103201,QUEENS,2014,0,0,22,22
103201,QUEENS,2015,6,0,54,48
103201,QUEENS,2016,5,28,69,36
103201,QUEENS,2017,0,0,19,19
103201,QUEENS,2018,0,0,7,7
103201,QUEENS,2019,0,4,15,11
103201,QUEENS,2020,0,0,10,10
103201,QUEENS,2021,0,0,17,17
103201,QUEENS,2022,0,0,4,4
103201,QUEENS,2023,0,0,8,8
103202,QUEENS,2009,4,1,12,7
103202,QUEENS,2010,1,2,14,11
103202,QUEENS,2011,2,3,23,18
103202,QUEENS,2012,1,0,17,16
103202,QUEENS,2013,1,2,18,15
103202,QUEENS,2014,1,2,15,12
103202,QUEENS,2015,2,3,22,17
103202,QUEENS,2016,1,1,13,11
103202,QUEENS,2017,2,2,23,19
103202,QUEENS,2018,8,0,30,22
103202,QUEENS,2019,2,0,30,28
103202,QUEENS,2020,3,7,29,19
103202,QUEENS,2021,1,2,21,18
103202,QUEENS,2022,0,0,11,11
103202,QUEENS,2023,0,0,4,4
1033,QUEENS,2009,7,6,25,12
1033,QUEENS,2010,2,12,29,15
1033,QUEENS,2011,2,7,18,9
1033,QUEENS,2012,3,0,11,8
1033,QUEENS,2013,6,6,22,10
1033,QUEENS,2014,5,2,12,5
1033,QUEENS,2015,1,4,15,10
1033,QUEENS,2016,0,0,10,10
1033,QUEENS,2017,5,2,10,3
1033,QUEENS,2018,1,1,8,6
1033,QUEENS,2019,4,1,13,8
1033,QUEENS,2020,1,2,7,4
1033,QUEENS,2021,0,1,21,20
1033,QUEENS,2022,0,0,3,3
1033,QUEENS,2023,0,0,1,1
1034,BROOKLYN,2009,0,0,6,6
1034,BROOKLYN,2010,0,0,24,24
1034,BROOKLYN,2011,0,0,6,6
1034,BROOKLYN,2012,0,0,2,2
1034,BROOKLYN,2013,0,0,1,1
1034,BROOKLYN,2014,0,0,2,2
1034,BROOKLYN,2015,0,0,4,4
1034,BROOKLYN,2016,0,0,9,9
1034,BROOKLYN,2017,0,0,31,31
1034,BROOKLYN,2018,0,0,1,1
1034,BROOKLYN,2019,0,0,2,2
1034,BROOKLYN,2020,0,0,2,2
1034,BROOKLYN,2021,0,0,2,2
1039,QUEENS,2009,4,0,9,5
1039,QUEENS,2010,2,1,13,10
1039,QUEENS,2011,2,0,14,12
1039,QUEENS,2012,0,2,8,6
1039,QUEENS,2013,2,1,12,9
1039,QUEENS,2014,2,4,20,14
1039,QUEENS,2015,1,6,26,19
1039,QUEENS,2016,3,7,26,16
1039,QUEENS,2017,3,2,18,13
1039,QUEENS,2018,7,2,29,20
1039,QUEENS,2019,2,7,24,15
1039,QUEENS,2020,5,6,25,14
1039,QUEENS,2021,0,2,19,17
1039,QUEENS,2022,0,0,6,6
1039,QUEENS,2023,1,0,9,8
104,BROOKLYN,2009,4,0,32,28
104,BROOKLYN,2010,6,3,34,25
104,BROOKLYN,2011,10,6,59,43
104,BROOKLYN,2012,7,0,30,23
104,BROOKLYN,2013,20,1,52,31
104,BROOKLYN,2014,11,0,36,25
104,BROOKLYN,2015,14,1,39,24
104,BROOKLYN,2016,12,2,41,27
104,BROOKLYN,2017,13,5,56,38
104,BROOKLYN,2018,8,0,53,45
104,BROOKLYN,2019,3,3,31,25
104,BROOKLYN,2020,3,0,18,15
104,BROOKLYN,2021,3,0,12,9
104,BROOKLYN,2022,0,0,3,3
104,BROOKLYN,2023,0,0,2,2
104,MANHATTAN,2009,5,0,256,251
104,MANHATTAN,2010,5,0,226,221
104,MANHATTAN,2011,5,8,345,332
104,MANHATTAN,2012,10,2,285,273
104,MANHATTAN,2013,7,2,254,245
104,MANHATTAN,2014,22,2,345,321
104,MANHATTAN,2015,16,0,307,291
104,MANHATTAN,2016,8,0,317,309
104,MANHATTAN,2017,1,0,257,256
104,MANHATTAN,2018,6,0,243,237
104,MANHATTAN,2019,6,0,115,109
104,MANHATTAN,2020,12,3,79,64
104,MANHATTAN,2021,2,0,5,3
104,MANHATTAN,2022,0,0,1,1
104,MANHATTAN,2023,0,0,1,1
104,QUEENS,2009,0,0,6,6
104,QUEENS,2010,0,0,3,3
104,QUEENS,2011,0,0,5,5
104,QUEENS,2012,1,0,6,5
104,QUEENS,2013,2,0,17,15
104,QUEENS,2014,0,0,6,6
104,QUEENS,2015,3,0,8,5
104,QUEENS,2016,1,0,15,14
104,QUEENS,2017,1,0,13,12
104,QUEENS,2018,0,0,8,8
104,QUEENS,2019,0,0,6,6
104,QUEENS,2020,0,0,4,4
104,QUEENS,2021,0,0,5,5
104,QUEENS,2023,0,0,4,4
1047,QUEENS,2009,3,0,13,10
1047,QUEENS,2010,4,2,19,13
1047,QUEENS,2011,5,0,11,6
1047,QUEENS,2012,3,1,19,15
1047,QUEENS,2013,1,5,27,21
1047,QUEENS,2014,1,0,15,14
1047,QUEENS,2015,3,1,22,18
1047,QUEENS,2016,5,0,25,20
1047,QUEENS,2017,1,1,20,18
1047,QUEENS,2018,1,0,16,15
1047,QUEENS,2019,4,1,29,24
1047,QUEENS,2020,2,1,8,5
1047,QUEENS,2021,0,0,5,5
1047,QUEENS,2022,0,0,6,6
1047,QUEENS,2023,0,0,1,1
105,QUEENS,2009,1,0,2,1
105,QUEENS,2010,1,0,2,1
105,QUEENS,2011,0,0,2,2
105,QUEENS,2012,3,0,9,6
105,QUEENS,2013,1,0,1,0
105,QUEENS,2014,0,0,1,1
105,QUEENS,2015,0,0,4,4
105,QUEENS,2016,1,8,39,30
105,QUEENS,2017,0,1,16,15
105,QUEENS,2018,0,0,2,2
105,QUEENS,2019,0,0,1,1
105,STATEN ISLAND,2009,2,3,19,14
105,STATEN ISLAND,2010,2,0,20,18
105,STATEN ISLAND,2011,1,0,16,15
105,STATEN ISLAND,2012,3,0,17,14
105,STATEN ISLAND,2013,0,0,13,13
105,STATEN ISLAND,2014,0,2,16,14
105,STATEN ISLAND,2015,2,1,22,19
105,STATEN ISLAND,2016,0,1,13,12
105,STATEN ISLAND,2017,3,2,16,11
105,STATEN ISLAND,2018,2,3,21,16
105,STATEN ISLAND,2019,2,0,12,10
105,STATEN ISLAND,2020,0,3,15,12
105,STATEN ISLAND,2021,0,0,21,21
105,STATEN ISLAND,2022,0,0,13,13
105,STATEN ISLAND,2023,1,0,13,12
105801,BROOKLYN,2009,0,0,1,1
105801,BROOKLYN,2010,0,0,5,5
105801,BROOKLYN,2011,0,0,5,5
105801,BROOKLYN,2012,0,0,3,3
105801,BROOKLYN,2013,2,0,6,4
105801,BROOKLYN,2015,1,0,2,1
105801,BROOKLYN,2017,0,0,2,2
105801,BROOKLYN,2018,0,0,1,1
105801,BROOKLYN,2019,3,0,5,2
105801,BROOKLYN,2020,0,0,4,4
105804,BROOKLYN,2009,0,0,6,6
105804,BROOKLYN,2010,0,4,12,8
105804,BROOKLYN,2011,0,0,5,5
105804,BROOKLYN,2012,0,0,7,7
105804,BROOKLYN,2013,0,2,12,10
105804,BROOKLYN,2014,0,0,6,6
105804,BROOKLYN,2015,3,0,10,7
105804,BROOKLYN,2016,0,0,15,15
105804,BROOKLYN,2017,0,0,13,13
105804,BROOKLYN,2018,0,0,2,2
105804,BROOKLYN,2019,0,0,3,3
105804,BROOKLYN,2020,0,0,1,1
105804,BROOKLYN,2023,0,0,5,5
1059,QUEENS,2009,2,2,8,4
1059,QUEENS,2010,2,1,12,9
1059,QUEENS,2011,4,0,10,6
1059,QUEENS,2012,4,0,7,3
1059,QUEENS,2013,1,2,12,9
1059,QUEENS,2014,2,2,10,6
1059,QUEENS,2015,1,1,13,11
1059,QUEENS,2016,4,0,13,9
1059,QUEENS,2017,3,3,13,7
1059,QUEENS,2018,5,0,19,14
1059,QUEENS,2019,0,0,7,7
1059,QUEENS,2020,13,1,20,6
