old_tract_id,new_tract_id,area_weight
081_003400,081_003400,0.9999999999979136
081_003900,081_003900,0.9999999999972483
081_003600,081_003600,0.9999999999978437
081_003700,081_003700,0.8510349083360274
081_003700,061_023802,0.05962575714545389
081_003700,061_023804,0.042805691445715055
081_003700,061_023803,0.046490925883062806
081_003800,081_003800,0.9999999999984721
081_004001,081_004001,0.9998012673204025
081_004200,081_004200,0.9999754146744115
081_004300,081_004300,0.9999999999988671
081_077907,081_077907,0.9999557996851854
081_023500,081_025301,0.0019354358133817132
081_023500,081_023502,0.4539075700046611
081_023500,081_023501,0.5388972976735544
081_023500,081_020500,0.00319100780578754
081_024000,081_024000,0.9984485212741521
081_024000,081_020800,0.0010546682515131666
081_024300,081_024300,0.9880541691362276
081_024300,081_024500,0.006511642881489199
081_024300,081_048302,0.005132033480529754
081_077908,081_077908,0.9950064997799427
081_077908,081_077904,0.0049881806756966384
081_024500,081_024300,0.004039179463594104
081_024500,081_024500,0.9380731789684097
081_024500,081_024900,0.039930857222343095
081_024500,081_024700,0.01746686695895174
081_024900,081_024900,0.9948848093548537
081_024900,081_024700,0.004529717559350798
081_025100,081_025100,0.9999999999990274
081_025500,081_025500,0.9953908671221559
081_025500,081_017102,0.0033200656572950258
081_025700,081_025500,0.0015966413189616318
081_025700,081_025700,0.998402586066817
081_097204,081_097204,0.999999999999647
081_100801,081_100801,0.9992445022598264
081_102900,081_102900,0.9812495796971944
081_102900,081_098700,0.010023024382190457
081_102900,081_099100,0.00872739592033442
047_021100,047_021100,0.9999999999985613
081_025800,081_025800,0.998421695133575
081_025800,081_041400,0.0015783048653190404
081_026000,081_026000,0.9999999999972465
081_026200,081_026200,0.9999999999988218
081_026300,081_026300,0.9942144101142425
081_026300,081_026502,0.005092377921358765
081_026500,081_026300,0.04119141388009156
081_026500,081_028900,0.003587433092330644
081_026500,081_026501,0.583186548013171
081_026500,081_026502,0.3719597284970103
081_026600,081_026600,0.9999999999977349
047_048500,047_048500,0.9998502785747307
081_107202,081_100801,0.0018257041171984571
081_107202,081_107202,0.9739385371494949
081_107202,081_071600,0.017873721725855638
081_107202,081_107201,0.00625728951791634
081_103201,081_100801,0.006695161304315443
081_103201,081_103201,0.9860983378709255
081_103201,081_103202,0.007206500824759038
081_103202,081_103202,0.9999999115853575
081_103900,081_103900,0.9882613920826308
081_103900,081_094500,0.005797204322246481
081_103900,081_097300,0.0028859461935838433
